method replica alignment factor nl ei1 ei2 fp fn rf
fastTree 20 0003 0 1001 998 998 522 522 0.523046
fastTree 20 0003 1 1001 998 993 699 704 0.704671
fastTree 20 0003 2 1001 998 627 524 895 0.873231
fastTree 20 0003 3 1001 998 188 151 961 0.937605
fastTree 20 0003 4 1001 998 58 50 990 0.984848
fastTree 20 0003 5 1001 998 7 6 997 0.998010
fastTree 20 0003 6 1001 998 0 0 998 1.000000
fastTree 20 0003 7 1001 998 0 0 998 1.000000
fastTree 20 0003 8 1001 998 0 0 998 1.000000
fastTree 20 0003 9 1001 998 0 0 998 1.000000
