method replica alignment factor nl ei1 ei2 fp fn rf
method replica alignment factor nl ei1 ei2 fp fn rf
fastTree 20 0003 0 1001 998 998 504 504 0.505010
fastTree 20 0003 1 1001 998 998 587 587 0.588176
fastTree 20 0003 2 1001 998 998 668 668 0.669339
fastTree 20 0003 3 1001 998 998 750 750 0.751503
fastTree 20 0003 4 1001 998 998 856 856 0.857715
fastTree 20 0003 5 1001 998 998 926 926 0.927856
fastTree 20 0003 6 1001 998 998 981 981 0.982966
fastTree 20 0003 7 1001 998 998 974 974 0.975952
fastTree 20 0003 8 1001 998 998 992 992 0.993988
fastTree 20 0003 9 1001 998 998 996 996 0.997996
