method replica alignment factor nl ei1 ei2 fp fn rf
fastTree 20 0004 0 1001 998 998 401 401 0.401804
method replica alignment factor nl ei1 ei2 fp fn rf
fastTree 20 0004 1 1001 998 998 554 554 0.555110
fastTree 20 0004 2 1001 998 816 646 828 0.812569
fastTree 20 0004 3 1001 998 330 278 946 0.921687
fastTree 20 0004 4 1001 998 70 57 985 0.975655
fastTree 20 0004 5 1001 998 20 19 997 0.998035
fastTree 20 0004 6 1001 998 1 1 998 1.000000
fastTree 20 0004 7 1001 998 0 0 998 1.000000
fastTree 20 0004 8 1001 998 0 0 998 1.000000
fastTree 20 0004 9 1001 998 0 0 998 1.000000
