method replica alignment factor nl ei1 ei2 fp fn rf
method replica alignment factor nl ei1 ei2 fp fn rf
raxml 20 0005 0 1001 998 998 241 241 0.241483
raxml 20 0005 0 1001 998 998 241 241 0.241483
raxml 20 0005 1 1001 998 998 258 258 0.258517
raxml 20 0005 1 1001 998 998 258 258 0.258517
raxml 20 0005 2 1001 998 998 385 385 0.385772
raxml 20 0005 2 1001 998 998 385 385 0.385772
raxml 20 0005 3 1001 998 998 510 510 0.511022
raxml 20 0005 3 1001 998 998 510 510 0.511022
raxml 20 0005 4 1001 998 998 605 605 0.606212
raxml 20 0005 4 1001 998 998 605 605 0.606212
raxml 20 0005 5 1001 998 998 789 789 0.790581
raxml 20 0005 5 1001 998 998 789 789 0.790581
raxml 20 0005 6 1001 998 998 872 872 0.873747
raxml 20 0005 6 1001 998 998 872 872 0.873747
raxml 20 0005 7 1001 998 998 955 955 0.956914
raxml 20 0005 7 1001 998 998 955 955 0.956914
raxml 20 0005 8 1001 998 998 997 997 0.998998
raxml 20 0005 8 1001 998 998 997 997 0.998998
raxml 20 0005 9 1001 998 998 998 998 1.000000
raxml 20 0005 9 1001 998 998 998 998 1.000000
