filename,p-distance,min,max
3_-1-tryfinal_fa1_hh0_TRUE.phy, 0.0 1 0
3_-1-tryfinal_fa1_hh1_TRUE.phy, 0.4237119472305215 0.001 0.796593186373
3_-1-tryfinal_fa1_hh2_TRUE.phy, 0.4227380179130719 0.001 0.789
3_-1-tryfinal_fa1_hh3_TRUE.phy, 0.4300738389183778 0.001 0.785
3_-1-tryfinal_fa1_hh4_TRUE.phy, 0.427151764484848 0.001 0.792
3_-1-tryfinal_fa1_ll0_TRUE.phy, 0.42613890795252524 0.000998003992 0.786
3_-1-tryfinal_fa1_ll1_TRUE.phy, 0.4227438557895911 0.001 0.789
3_-1-tryfinal_fa1_ll2_TRUE.phy, 0.42822521564987653 0.000999000999 0.803212851406
3_-1-tryfinal_fa1_ll3_TRUE.phy, 0.4320316244037295 0.001 0.796
3_-1-tryfinal_fa1_ll4_TRUE.phy, 0.4247876767800938 0.001 0.785
3_-2-tryfinal_fa1_hh0_TRUE.phy, 0.2529750469150728 0.001 0.752
3_-2-tryfinal_fa1_hh1_TRUE.phy, 0.2544399420971299 0.000999000999 0.737
3_-2-tryfinal_fa1_hh2_TRUE.phy, 0.25374547689347665 0.001 0.764
3_-2-tryfinal_fa1_hh3_TRUE.phy, 0.25566890346334253 0.001 0.756294058409
3_-2-tryfinal_fa1_hh4_TRUE.phy, 0.2429216204667743 0.001 0.757
3_-2-tryfinal_fa1_ll0_TRUE.phy, 0.2555177650290626 0.000998003992 0.752
3_-2-tryfinal_fa1_ll1_TRUE.phy, 0.24719091729883352 0.000994035785 0.768
3_-2-tryfinal_fa1_ll2_TRUE.phy, 0.25114169769769745 0.001 0.744
3_-2-tryfinal_fa1_ll3_TRUE.phy, 0.2552218086099355 0.001 0.742742742743
3_-2-tryfinal_fa1_ll4_TRUE.phy, 0.2529751840266024 0.000999000999 0.767
3_-3-tryfinal_fa1_hh0_TRUE.phy, 0.1212995455215457 0.001 0.596
3_-3-tryfinal_fa1_hh1_TRUE.phy, 0.11688748831865726 0.000998003992 0.582834331337
3_-3-tryfinal_fa1_hh2_TRUE.phy, 0.11361948205603827 0.000993048659 0.585
3_-3-tryfinal_fa1_hh3_TRUE.phy, 0.11100085285285285 0.001 0.598
