factor,method,nl,ei1,ei2,fp,fn,rf
00,fastTree,901,898,885,73,86,0.089176
00,RAxML,901,898,898,165,165,0.183742
00,iqtree,901,898,898,105,105,0.116927
01,fastTree,901,898,884,80,94,0.097643
01,RAxML,901,898,898,208,208,0.231626
01,iqtree,901,898,898,123,123,0.136971
02,fastTree,901,898,883,81,96,0.099382
02,RAxML,901,898,898,170,170,0.189310
02,iqtree,901,898,898,116,116,0.129176
03,fastTree,901,898,886,79,91,0.095291
03,RAxML,901,898,898,167,167,0.185969
03,iqtree,901,898,898,115,115,0.128062
04,fastTree,901,898,881,73,90,0.091625
04,RAxML,901,898,898,184,184,0.204900
04,iqtree,901,898,898,118,118,0.131403
05,fastTree,901,898,886,81,93,0.097534
05,RAxML,901,898,898,174,174,0.193764
05,iqtree,901,898,898,111,111,0.123608
06,fastTree,901,898,885,81,94,0.098149
06,RAxML,901,898,898,143,143,0.159243
06,iqtree,901,898,898,108,108,0.120267
07,fastTree,901,898,885,78,91,0.094784
07,RAxML,901,898,898,155,155,0.172606
07,iqtree,901,898,898,106,106,0.118040
08,fastTree,901,898,883,81,96,0.099382
08,RAxML,901,898,898,160,160,0.178174
08,iqtree,901,898,898,100,100,0.111359
09,fastTree,901,898,885,68,81,0.083567
09,RAxML,901,898,898,164,164,0.182628
09,iqtree,901,898,898,106,106,0.118040
10,fastTree,901,898,877,60,81,0.079437
10,RAxML,901,898,898,86,86,0.095768
10,iqtree,901,898,898,76,76,0.084633
11,fastTree,901,898,879,60,79,0.078222
11,RAxML,901,898,898,80,80,0.089087
11,iqtree,901,898,898,75,75,0.083519
12,fastTree,901,898,874,63,87,0.084650
12,RAxML,901,898,898,90,90,0.100223
12,iqtree,901,898,898,89,89,0.099109
13,fastTree,901,898,875,74,97,0.096447
13,RAxML,901,898,898,73,73,0.081292
13,iqtree,901,898,898,76,76,0.084633
14,fastTree,901,898,874,47,71,0.066591
14,RAxML,901,898,898,75,75,0.083519
14,iqtree,901,898,898,76,76,0.084633
15,fastTree,901,898,875,65,88,0.086294
15,RAxML,901,898,898,97,97,0.108018
15,iqtree,901,898,898,97,97,0.108018
16,fastTree,901,898,874,62,86,0.083521
16,RAxML,901,898,898,83,83,0.092428
16,iqtree,901,898,898,86,86,0.095768
17,fastTree,901,898,872,64,90,0.087006
17,RAxML,901,898,898,96,96,0.106904
17,iqtree,901,898,898,96,96,0.106904
18,fastTree,901,898,874,59,83,0.080135
18,RAxML,901,898,898,97,97,0.108018
18,iqtree,901,898,898,91,91,0.101336
19,fastTree,901,898,878,64,84,0.083333
19,RAxML,901,898,898,77,77,0.085746
19,iqtree,901,898,898,71,71,0.079065
20,fastTree,901,898,833,178,243,0.243212
20,RAxML,901,898,898,251,251,0.279510
20,iqtree,901,898,898,251,251,0.279510
21,fastTree,901,898,824,173,247,0.243902
21,RAxML,901,898,898,245,245,0.272829
21,iqtree,901,898,898,250,250,0.278396
22,fastTree,901,898,825,190,263,0.262914
22,RAxML,901,898,898,252,252,0.280624
22,iqtree,901,898,898,257,257,0.286192
23,fastTree,901,898,818,184,264,0.261072
23,RAxML,901,898,898,261,261,0.290646
23,iqtree,901,898,898,259,259,0.288419
24,fastTree,901,898,834,195,259,0.262125
24,RAxML,901,898,898,253,253,0.281737
24,iqtree,901,898,898,258,258,0.287305
25,fastTree,901,898,826,182,254,0.252900
25,RAxML,901,898,898,250,250,0.278396
25,iqtree,901,898,898,258,258,0.287305
26,fastTree,901,898,822,203,279,0.280233
26,RAxML,901,898,898,275,275,0.306236
26,iqtree,901,898,898,279,279,0.310690
27,fastTree,901,898,827,168,239,0.235942
27,RAxML,901,898,898,248,248,0.276169
