filename,method,NL,TRUE_NE,ESTI_NE,FN,FP,RF,factor
3_-1-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,901,898,882,74,90,0.092135,-1
3_-1-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,901,898,879,59,78,0.077096,-1
3_-2-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,901,898,859,91,130,0.125783,-2
3_-2-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,901,898,868,84,114,0.112118,-2
3_-3-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,901,898,822,188,264,0.262791,-3
3_-3-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,901,898,815,201,284,0.283129,-3
3_-4-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,901,898,711,289,476,0.475451,-4
3_-4-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,901,898,702,299,495,0.49625,-4
3_0-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,901,898,886,71,83,0.086323,0
3_0-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,901,898,881,73,90,0.091625,0
3_1-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,901,898,886,171,183,0.19843,1
3_1-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,901,898,885,193,206,0.22378,1
3_2-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,901,898,886,454,466,0.515695,2
3_2-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,901,898,888,448,458,0.507279,2
3_3-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,901,898,889,692,701,0.779519,3
3_3-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,901,898,886,706,718,0.798206,3
3_-1-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,901,898,898,83,83,0.092428,-1
3_-1-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,901,898,898,80,80,0.089087,-1
3_-2-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,901,898,898,131,131,0.14588,-2
3_-2-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,901,898,898,106,106,0.11804,-2
3_-3-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,901,898,898,269,269,0.299555,-3
3_-3-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,901,898,898,282,282,0.314031,-3
3_-4-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,901,898,898,484,484,0.538976,-4
3_-4-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,901,898,898,501,501,0.557906,-4
3_0-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,901,898,898,104,104,0.115813,0
3_0-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,901,898,898,113,113,0.125835,0
3_1-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,901,898,898,237,237,0.26392,1
3_1-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,901,898,898,253,253,0.281737,1
3_2-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,901,898,898,541,541,0.60245,2
3_2-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,901,898,898,529,529,0.589087,2
3_3-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,901,898,898,772,772,0.859688,3
3_3-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,901,898,898,781,781,0.86971,3
RAxML_bestTree.3_-1-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,901,898,898,89,89,0.099109,-1
RAxML_bestTree.3_-1-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,901,898,898,69,69,0.076837,-1
RAxML_bestTree.3_-2-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,901,898,898,135,135,0.150334,-2
RAxML_bestTree.3_-2-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,901,898,898,112,112,0.124722,-2
RAxML_bestTree.3_-3-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,901,898,898,261,261,0.290646,-3
RAxML_bestTree.3_-3-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,901,898,898,283,283,0.315145,-3
RAxML_bestTree.3_-4-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,901,898,898,459,459,0.511136,-4
RAxML_bestTree.3_-4-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,901,898,898,486,486,0.541203,-4
RAxML_bestTree.3_0-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,901,898,898,213,213,0.237194,0
RAxML_bestTree.3_0-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,901,898,898,202,202,0.224944,0
RAxML_bestTree.3_1-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,901,898,898,298,298,0.331849,1
RAxML_bestTree.3_1-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,901,898,898,365,365,0.406459,1
RAxML_bestTree.3_2-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,901,898,898,604,604,0.672606,2
RAxML_bestTree.3_2-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,901,898,898,636,636,0.708241,2
