filename,method,NL,TRUE_NE,ESTI_NE,FN,FP,RF,factor
3_-1-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,260,9,9,0.034615,-1
3_-1-tryfinal_fa1_hh1_TRUE.phy.res.txt,fastTree,263,260,259,10,11,0.040462,-1
3_-1-tryfinal_fa1_hh2_TRUE.phy.res.txt,fastTree,263,260,260,12,12,0.046154,-1
3_-1-tryfinal_fa1_hh3_TRUE.phy.res.txt,fastTree,263,260,260,7,7,0.026923,-1
3_-1-tryfinal_fa1_hh4_TRUE.phy.res.txt,fastTree,263,260,260,5,5,0.019231,-1
3_-1-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,260,10,10,0.038462,-1
3_-1-tryfinal_fa1_ll1_TRUE.phy.res.txt,fastTree,263,260,260,12,12,0.046154,-1
3_-1-tryfinal_fa1_ll2_TRUE.phy.res.txt,fastTree,263,260,260,9,9,0.034615,-1
3_-1-tryfinal_fa1_ll3_TRUE.phy.res.txt,fastTree,263,260,260,8,8,0.030769,-1
3_-1-tryfinal_fa1_ll4_TRUE.phy.res.txt,fastTree,263,260,259,4,5,0.017341,-1
3_-2-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,258,10,12,0.042471,-2
3_-2-tryfinal_fa1_hh1_TRUE.phy.res.txt,fastTree,263,260,258,14,16,0.057915,-2
3_-2-tryfinal_fa1_hh2_TRUE.phy.res.txt,fastTree,263,260,257,14,17,0.059961,-2
3_-2-tryfinal_fa1_hh3_TRUE.phy.res.txt,fastTree,263,260,259,8,9,0.032755,-2
3_-2-tryfinal_fa1_hh4_TRUE.phy.res.txt,fastTree,263,260,258,12,14,0.050193,-2
3_-2-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,259,16,17,0.063584,-2
3_-2-tryfinal_fa1_ll1_TRUE.phy.res.txt,fastTree,263,260,259,13,14,0.052023,-2
3_-2-tryfinal_fa1_ll2_TRUE.phy.res.txt,fastTree,263,260,258,13,15,0.054054,-2
3_-2-tryfinal_fa1_ll3_TRUE.phy.res.txt,fastTree,263,260,255,16,21,0.071845,-2
3_-2-tryfinal_fa1_ll4_TRUE.phy.res.txt,fastTree,263,260,258,18,20,0.073359,-2
3_-3-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,249,43,54,0.19057,-3
3_-3-tryfinal_fa1_hh1_TRUE.phy.res.txt,fastTree,263,260,245,28,43,0.140594,-3
3_-3-tryfinal_fa1_hh2_TRUE.phy.res.txt,fastTree,263,260,242,38,56,0.187251,-3
3_-3-tryfinal_fa1_hh3_TRUE.phy.res.txt,fastTree,263,260,242,29,47,0.151394,-3
3_-3-tryfinal_fa1_hh4_TRUE.phy.res.txt,fastTree,263,260,245,36,51,0.172277,-3
3_-3-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,250,42,52,0.184314,-3
3_-3-tryfinal_fa1_ll1_TRUE.phy.res.txt,fastTree,263,260,249,38,49,0.170923,-3
3_-3-tryfinal_fa1_ll2_TRUE.phy.res.txt,fastTree,263,260,246,39,53,0.181818,-3
3_-3-tryfinal_fa1_ll3_TRUE.phy.res.txt,fastTree,263,260,252,41,49,0.175781,-3
3_-3-tryfinal_fa1_ll4_TRUE.phy.res.txt,fastTree,263,260,251,38,47,0.166341,-3
3_-4-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,227,75,108,0.37577,-4
3_-4-tryfinal_fa1_hh1_TRUE.phy.res.txt,fastTree,263,260,222,65,103,0.348548,-4
3_-4-tryfinal_fa1_hh2_TRUE.phy.res.txt,fastTree,263,260,229,65,96,0.329243,-4
3_-4-tryfinal_fa1_hh3_TRUE.phy.res.txt,fastTree,263,260,225,62,97,0.327835,-4
3_-4-tryfinal_fa1_hh4_TRUE.phy.res.txt,fastTree,263,260,228,71,103,0.356557,-4
3_-4-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,226,81,115,0.403292,-4
3_-4-tryfinal_fa1_ll1_TRUE.phy.res.txt,fastTree,263,260,231,67,96,0.331976,-4
3_-4-tryfinal_fa1_ll2_TRUE.phy.res.txt,fastTree,263,260,229,65,96,0.329243,-4
3_-4-tryfinal_fa1_ll3_TRUE.phy.res.txt,fastTree,263,260,235,77,102,0.361616,-4
3_-4-tryfinal_fa1_ll4_TRUE.phy.res.txt,fastTree,263,260,227,77,110,0.383984,-4
3_0-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,260,26,26,0.1,0
3_0-tryfinal_fa1_hh1_TRUE.phy.res.txt,fastTree,263,260,260,23,23,0.088462,0
3_0-tryfinal_fa1_hh2_TRUE.phy.res.txt,fastTree,263,260,260,25,25,0.096154,0
3_0-tryfinal_fa1_hh3_TRUE.phy.res.txt,fastTree,263,260,260,28,28,0.107692,0
3_0-tryfinal_fa1_hh4_TRUE.phy.res.txt,fastTree,263,260,260,26,26,0.1,0
3_0-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,260,27,27,0.103846,0
3_0-tryfinal_fa1_ll1_TRUE.phy.res.txt,fastTree,263,260,260,25,25,0.096154,0
3_0-tryfinal_fa1_ll2_TRUE.phy.res.txt,fastTree,263,260,260,34,34,0.130769,0
3_0-tryfinal_fa1_ll3_TRUE.phy.res.txt,fastTree,263,260,260,31,31,0.119231,0
3_0-tryfinal_fa1_ll4_TRUE.phy.res.txt,fastTree,263,260,260,23,23,0.088462,0
3_1-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,260,80,80,0.307692,1
3_1-tryfinal_fa1_hh1_TRUE.phy.res.txt,fastTree,263,260,260,108,108,0.415385,1
3_1-tryfinal_fa1_hh2_TRUE.phy.res.txt,fastTree,263,260,260,92,92,0.353846,1
3_1-tryfinal_fa1_hh3_TRUE.phy.res.txt,fastTree,263,260,260,73,73,0.280769,1
3_1-tryfinal_fa1_hh4_TRUE.phy.res.txt,fastTree,263,260,260,93,93,0.357692,1
3_1-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,260,86,86,0.330769,1
3_1-tryfinal_fa1_ll1_TRUE.phy.res.txt,fastTree,263,260,260,89,89,0.342308,1
3_1-tryfinal_fa1_ll2_TRUE.phy.res.txt,fastTree,263,260,260,83,83,0.319231,1
3_1-tryfinal_fa1_ll3_TRUE.phy.res.txt,fastTree,263,260,260,93,93,0.357692,1
3_1-tryfinal_fa1_ll4_TRUE.phy.res.txt,fastTree,263,260,260,96,96,0.369231,1
3_2-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,260,176,176,0.676923,2
3_2-tryfinal_fa1_hh1_TRUE.phy.res.txt,fastTree,263,260,260,172,172,0.661538,2
3_2-tryfinal_fa1_hh2_TRUE.phy.res.txt,fastTree,263,260,260,169,169,0.65,2
3_2-tryfinal_fa1_hh3_TRUE.phy.res.txt,fastTree,263,260,260,174,174,0.669231,2
3_2-tryfinal_fa1_hh4_TRUE.phy.res.txt,fastTree,263,260,260,171,171,0.657692,2
3_2-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,260,174,174,0.669231,2
3_2-tryfinal_fa1_ll1_TRUE.phy.res.txt,fastTree,263,260,260,168,168,0.646154,2
3_2-tryfinal_fa1_ll2_TRUE.phy.res.txt,fastTree,263,260,260,168,168,0.646154,2
3_2-tryfinal_fa1_ll3_TRUE.phy.res.txt,fastTree,263,260,260,165,165,0.634615,2
3_2-tryfinal_fa1_ll4_TRUE.phy.res.txt,fastTree,263,260,260,177,177,0.680769,2
3_3-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,260,219,219,0.842308,3
3_3-tryfinal_fa1_hh1_TRUE.phy.res.txt,fastTree,263,260,260,208,208,0.8,3
3_3-tryfinal_fa1_hh2_TRUE.phy.res.txt,fastTree,263,260,260,218,218,0.838462,3
3_3-tryfinal_fa1_hh3_TRUE.phy.res.txt,fastTree,263,260,260,213,213,0.819231,3
3_3-tryfinal_fa1_hh4_TRUE.phy.res.txt,fastTree,263,260,260,216,216,0.830769,3
3_3-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,260,211,211,0.811538,3
3_3-tryfinal_fa1_ll1_TRUE.phy.res.txt,fastTree,263,260,260,209,209,0.803846,3
3_3-tryfinal_fa1_ll2_TRUE.phy.res.txt,fastTree,263,260,260,209,209,0.803846,3
3_3-tryfinal_fa1_ll3_TRUE.phy.res.txt,fastTree,263,260,260,214,214,0.823077,3
3_3-tryfinal_fa1_ll4_TRUE.phy.res.txt,fastTree,263,260,260,218,218,0.838462,3
3_-1-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,8,8,0.030769,-1
3_-1-tryfinal_fa1_hh1_TRUE.phy.treefile,iqtree,263,260,260,16,16,0.061538,-1
3_-1-tryfinal_fa1_hh2_TRUE.phy.treefile,iqtree,263,260,260,13,13,0.05,-1
3_-1-tryfinal_fa1_hh3_TRUE.phy.treefile,iqtree,263,260,260,7,7,0.026923,-1
3_-1-tryfinal_fa1_hh4_TRUE.phy.treefile,iqtree,263,260,260,5,5,0.019231,-1
3_-1-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,9,9,0.034615,-1
3_-1-tryfinal_fa1_ll1_TRUE.phy.treefile,iqtree,263,260,260,8,8,0.030769,-1
3_-1-tryfinal_fa1_ll2_TRUE.phy.treefile,iqtree,263,260,260,5,5,0.019231,-1
3_-1-tryfinal_fa1_ll3_TRUE.phy.treefile,iqtree,263,260,260,5,5,0.019231,-1
3_-1-tryfinal_fa1_ll4_TRUE.phy.treefile,iqtree,263,260,260,5,5,0.019231,-1
3_-2-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,12,12,0.046154,-2
3_-2-tryfinal_fa1_hh1_TRUE.phy.treefile,iqtree,263,260,260,17,17,0.065385,-2
3_-2-tryfinal_fa1_hh2_TRUE.phy.treefile,iqtree,263,260,260,17,17,0.065385,-2
3_-2-tryfinal_fa1_hh3_TRUE.phy.treefile,iqtree,263,260,260,13,13,0.05,-2
3_-2-tryfinal_fa1_hh4_TRUE.phy.treefile,iqtree,263,260,260,12,12,0.046154,-2
3_-2-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,16,16,0.061538,-2
3_-2-tryfinal_fa1_ll1_TRUE.phy.treefile,iqtree,263,260,260,16,16,0.061538,-2
3_-2-tryfinal_fa1_ll2_TRUE.phy.treefile,iqtree,263,260,260,14,14,0.053846,-2
3_-2-tryfinal_fa1_ll3_TRUE.phy.treefile,iqtree,263,260,260,22,22,0.084615,-2
3_-2-tryfinal_fa1_ll4_TRUE.phy.treefile,iqtree,263,260,260,22,22,0.084615,-2
3_-3-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,54,54,0.207692,-3
3_-3-tryfinal_fa1_hh1_TRUE.phy.treefile,iqtree,263,260,260,45,45,0.173077,-3
3_-3-tryfinal_fa1_hh2_TRUE.phy.treefile,iqtree,263,260,260,56,56,0.215385,-3
3_-3-tryfinal_fa1_hh3_TRUE.phy.treefile,iqtree,263,260,260,44,44,0.169231,-3
3_-3-tryfinal_fa1_hh4_TRUE.phy.treefile,iqtree,263,260,260,53,53,0.203846,-3
3_-3-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,53,53,0.203846,-3
3_-3-tryfinal_fa1_ll1_TRUE.phy.treefile,iqtree,263,260,260,47,47,0.180769,-3
3_-3-tryfinal_fa1_ll2_TRUE.phy.treefile,iqtree,263,260,260,58,58,0.223077,-3
3_-3-tryfinal_fa1_ll3_TRUE.phy.treefile,iqtree,263,260,260,49,49,0.188462,-3
3_-3-tryfinal_fa1_ll4_TRUE.phy.treefile,iqtree,263,260,260,46,46,0.176923,-3
3_-4-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,108,108,0.415385,-4
3_-4-tryfinal_fa1_hh1_TRUE.phy.treefile,iqtree,263,260,260,101,101,0.388462,-4
3_-4-tryfinal_fa1_hh2_TRUE.phy.treefile,iqtree,263,260,260,97,97,0.373077,-4
3_-4-tryfinal_fa1_hh3_TRUE.phy.treefile,iqtree,263,260,260,98,98,0.376923,-4
3_-4-tryfinal_fa1_hh4_TRUE.phy.treefile,iqtree,263,260,260,100,100,0.384615,-4
3_-4-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,111,111,0.426923,-4
3_-4-tryfinal_fa1_ll1_TRUE.phy.treefile,iqtree,263,260,260,96,96,0.369231,-4
3_-4-tryfinal_fa1_ll2_TRUE.phy.treefile,iqtree,263,260,260,94,94,0.361538,-4
3_-4-tryfinal_fa1_ll3_TRUE.phy.treefile,iqtree,263,260,260,103,103,0.396154,-4
3_-4-tryfinal_fa1_ll4_TRUE.phy.treefile,iqtree,263,260,260,104,104,0.4,-4
3_0-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,35,35,0.134615,0
3_0-tryfinal_fa1_hh1_TRUE.phy.treefile,iqtree,263,260,260,39,39,0.15,0
3_0-tryfinal_fa1_hh2_TRUE.phy.treefile,iqtree,263,260,260,31,31,0.119231,0
3_0-tryfinal_fa1_hh3_TRUE.phy.treefile,iqtree,263,260,260,29,29,0.111538,0
3_0-tryfinal_fa1_hh4_TRUE.phy.treefile,iqtree,263,260,260,33,33,0.126923,0
3_0-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,24,24,0.092308,0
3_0-tryfinal_fa1_ll1_TRUE.phy.treefile,iqtree,263,260,260,37,37,0.142308,0
3_0-tryfinal_fa1_ll2_TRUE.phy.treefile,iqtree,263,260,260,28,28,0.107692,0
3_0-tryfinal_fa1_ll3_TRUE.phy.treefile,iqtree,263,260,260,28,28,0.107692,0
3_0-tryfinal_fa1_ll4_TRUE.phy.treefile,iqtree,263,260,260,37,37,0.142308,0
3_1-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,96,96,0.369231,1
3_1-tryfinal_fa1_hh1_TRUE.phy.treefile,iqtree,263,260,260,117,117,0.45,1
3_1-tryfinal_fa1_hh2_TRUE.phy.treefile,iqtree,263,260,260,96,96,0.369231,1
3_1-tryfinal_fa1_hh3_TRUE.phy.treefile,iqtree,263,260,260,105,105,0.403846,1
3_1-tryfinal_fa1_hh4_TRUE.phy.treefile,iqtree,263,260,260,96,96,0.369231,1
3_1-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,112,112,0.430769,1
3_1-tryfinal_fa1_ll1_TRUE.phy.treefile,iqtree,263,260,260,111,111,0.426923,1
3_1-tryfinal_fa1_ll2_TRUE.phy.treefile,iqtree,263,260,260,92,92,0.353846,1
3_1-tryfinal_fa1_ll3_TRUE.phy.treefile,iqtree,263,260,260,111,111,0.426923,1
3_1-tryfinal_fa1_ll4_TRUE.phy.treefile,iqtree,263,260,260,121,121,0.465385,1
3_2-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,175,175,0.673077,2
3_2-tryfinal_fa1_hh1_TRUE.phy.treefile,iqtree,263,260,260,202,202,0.776923,2
3_2-tryfinal_fa1_hh2_TRUE.phy.treefile,iqtree,263,260,260,164,164,0.630769,2
3_2-tryfinal_fa1_hh3_TRUE.phy.treefile,iqtree,263,260,260,203,203,0.780769,2
3_2-tryfinal_fa1_hh4_TRUE.phy.treefile,iqtree,263,260,260,203,203,0.780769,2
3_2-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,215,215,0.826923,2
3_2-tryfinal_fa1_ll1_TRUE.phy.treefile,iqtree,263,260,260,202,202,0.776923,2
3_2-tryfinal_fa1_ll2_TRUE.phy.treefile,iqtree,263,260,260,198,198,0.761538,2
3_2-tryfinal_fa1_ll3_TRUE.phy.treefile,iqtree,263,260,260,200,200,0.769231,2
3_2-tryfinal_fa1_ll4_TRUE.phy.treefile,iqtree,263,260,260,179,179,0.688462,2
3_3-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,222,222,0.853846,3
3_3-tryfinal_fa1_hh1_TRUE.phy.treefile,iqtree,263,260,260,213,213,0.819231,3
