filename,p-distance,factor
3_-1-tryfinal_fa1_hh0_TRUE.phy,0.42216522,-1
3_-1-tryfinal_fa1_ll0_TRUE.phy,0.422732835,-1
3_-2-tryfinal_fa1_hh0_TRUE.phy,0.252012393,-2
3_-2-tryfinal_fa1_ll0_TRUE.phy,0.242458176,-2
3_-3-tryfinal_fa1_hh0_TRUE.phy,0.109238423,-3
3_-3-tryfinal_fa1_ll0_TRUE.phy,0.108981632,-3
3_-4-tryfinal_fa1_hh0_TRUE.phy,0.042384104,-4
3_-4-tryfinal_fa1_ll0_TRUE.phy,0.044898645,-4
3_0-tryfinal_fa1_hh0_TRUE.phy,0.551188731,0
3_0-tryfinal_fa1_ll0_TRUE.phy,0.552290512,0
3_1-tryfinal_fa1_hh0_TRUE.phy,0.595913804,1
3_1-tryfinal_fa1_ll0_TRUE.phy,0.595727636,1
3_2-tryfinal_fa1_hh0_TRUE.phy,0.60407497,2
3_2-tryfinal_fa1_ll0_TRUE.phy,0.604035573,2
3_3-tryfinal_fa1_hh0_TRUE.phy,0.605803225,3
3_3-tryfinal_fa1_ll0_TRUE.phy,0.6058641,3
