filename,p-distance,factor
3_-1-tryfinal_fa1_hh0_TRUE.phy,0.035634178,-1
3_-1-tryfinal_fa1_ll0_TRUE.phy,0.035707709,-1
3_-2-tryfinal_fa1_hh0_TRUE.phy,0.020294655,-2
3_-2-tryfinal_fa1_ll0_TRUE.phy,0.021161009,-2
3_-3-tryfinal_fa1_hh0_TRUE.phy,0.009008699,-3
3_-3-tryfinal_fa1_ll0_TRUE.phy,0.008675001,-3
3_-4-tryfinal_fa1_hh0_TRUE.phy,0.003485752,-4
3_-4-tryfinal_fa1_ll0_TRUE.phy,0.003319116,-4
3_0-tryfinal_fa1_hh0_TRUE.phy,0.046446443,0
3_0-tryfinal_fa1_ll0_TRUE.phy,0.04636576,0
3_1-tryfinal_fa1_hh0_TRUE.phy,0.050290996,1
3_1-tryfinal_fa1_ll0_TRUE.phy,0.050398743,1
3_2-tryfinal_fa1_hh0_TRUE.phy,0.051245022,2
3_2-tryfinal_fa1_ll0_TRUE.phy,0.051232754,2
3_3-tryfinal_fa1_hh0_TRUE.phy,0.051467521,3
3_3-tryfinal_fa1_ll0_TRUE.phy,0.051465704,3
