filename,p-distance,factor
3--1-tryfinal_fa1_hh0_TRUE.phy,0.489653252,-1
3--1-tryfinal_fa1_ll0_TRUE.phy,0.482720829,-1
3--2-tryfinal_fa1_hh0_TRUE.phy,0.259494921,-2
3--2-tryfinal_fa1_ll0_TRUE.phy,0.26411259,-2
3--3-tryfinal_fa1_hh0_TRUE.phy,0.11278834,-3
3--3-tryfinal_fa1_ll0_TRUE.phy,0.115903895,-3
3--4-tryfinal_fa1_hh0_TRUE.phy,0.040560937,-4
3--4-tryfinal_fa1_ll0_TRUE.phy,0.039986665,-4
3-0-tryfinal_fa1_hh0_TRUE.phy,0.682838736,0
3-0-tryfinal_fa1_ll0_TRUE.phy,0.684693255,0
3-1-tryfinal_fa1_hh0_TRUE.phy,0.770395858,1
3-1-tryfinal_fa1_ll0_TRUE.phy,0.770502937,1
3-2-tryfinal_fa1_hh0_TRUE.phy,0.787413007,2
3-2-tryfinal_fa1_ll0_TRUE.phy,0.7874059,2
3-3-tryfinal_fa1_hh0_TRUE.phy,0.789289216,3
3-3-tryfinal_fa1_ll0_TRUE.phy,0.78939573,3
