filename,p-distance,factor
3_-1-tryfinal_fa1_hh0_TRUE.phy,0.039603036,-1
3_-1-tryfinal_fa1_ll0_TRUE.phy,0.039526103,-1
3_-2-tryfinal_fa1_hh0_TRUE.phy,0.02358102,-2
3_-2-tryfinal_fa1_ll0_TRUE.phy,0.023022703,-2
3_-3-tryfinal_fa1_hh0_TRUE.phy,0.01046711,-3
3_-3-tryfinal_fa1_ll0_TRUE.phy,0.010098416,-3
3_-4-tryfinal_fa1_hh0_TRUE.phy,0.003932496,-4
3_-4-tryfinal_fa1_ll0_TRUE.phy,0.003910563,-4
3_0-tryfinal_fa1_hh0_TRUE.phy,0.051626547,0
3_0-tryfinal_fa1_ll0_TRUE.phy,0.051826031,0
3_1-tryfinal_fa1_hh0_TRUE.phy,0.056110469,1
3_1-tryfinal_fa1_ll0_TRUE.phy,0.056070651,1
3_2-tryfinal_fa1_hh0_TRUE.phy,0.057205531,2
3_2-tryfinal_fa1_ll0_TRUE.phy,0.057222222,2
3_3-tryfinal_fa1_hh0_TRUE.phy,0.0575373,3
3_3-tryfinal_fa1_ll0_TRUE.phy,0.057516317,3
