filename,p-distance,factor
3--1-tryfinal_fa1_hh0_TRUE.phy,0.491718411,-1
3--1-tryfinal_fa1_hh1_TRUE.phy,0.49752637,-1
3--1-tryfinal_fa1_hh2_TRUE.phy,0.487853814,-1
3--1-tryfinal_fa1_hh3_TRUE.phy,0.482699959,-1
3--1-tryfinal_fa1_hh4_TRUE.phy,0.482644318,-1
3--1-tryfinal_fa1_ll0_TRUE.phy,0.485515488,-1
3--1-tryfinal_fa1_ll1_TRUE.phy,0.492249172,-1
3--1-tryfinal_fa1_ll2_TRUE.phy,0.484240321,-1
3--1-tryfinal_fa1_ll3_TRUE.phy,0.486643615,-1
3--1-tryfinal_fa1_ll4_TRUE.phy,0.487243323,-1
3--2-tryfinal_fa1_hh0_TRUE.phy,0.266188851,-2
3--2-tryfinal_fa1_hh1_TRUE.phy,0.262294745,-2
3--2-tryfinal_fa1_hh2_TRUE.phy,0.264173841,-2
3--2-tryfinal_fa1_hh3_TRUE.phy,0.251842468,-2
3--2-tryfinal_fa1_hh4_TRUE.phy,0.256768305,-2
3--2-tryfinal_fa1_ll0_TRUE.phy,0.255431754,-2
3--2-tryfinal_fa1_ll1_TRUE.phy,0.266296476,-2
3--2-tryfinal_fa1_ll2_TRUE.phy,0.264565093,-2
3--2-tryfinal_fa1_ll3_TRUE.phy,0.261450139,-2
3--2-tryfinal_fa1_ll4_TRUE.phy,0.25782719,-2
3--3-tryfinal_fa1_hh0_TRUE.phy,0.108136017,-3
3--3-tryfinal_fa1_hh1_TRUE.phy,0.1077056,-3
3--3-tryfinal_fa1_hh2_TRUE.phy,0.116843689,-3
3--3-tryfinal_fa1_hh3_TRUE.phy,0.110086599,-3
3--3-tryfinal_fa1_hh4_TRUE.phy,0.118487427,-3
3--3-tryfinal_fa1_ll0_TRUE.phy,0.112441081,-3
3--3-tryfinal_fa1_ll1_TRUE.phy,0.110299676,-3
3--3-tryfinal_fa1_ll2_TRUE.phy,0.113384048,-3
3--3-tryfinal_fa1_ll3_TRUE.phy,0.114046404,-3
3--3-tryfinal_fa1_ll4_TRUE.phy,0.109648999,-3
3--4-tryfinal_fa1_hh0_TRUE.phy,0.036951359,-4
3--4-tryfinal_fa1_hh1_TRUE.phy,0.041379522,-4
3--4-tryfinal_fa1_hh2_TRUE.phy,0.044007269,-4
3--4-tryfinal_fa1_hh3_TRUE.phy,0.041330697,-4
3--4-tryfinal_fa1_hh4_TRUE.phy,0.039735205,-4
3--4-tryfinal_fa1_ll0_TRUE.phy,0.042604621,-4
3--4-tryfinal_fa1_ll1_TRUE.phy,0.046029911,-4
3--4-tryfinal_fa1_ll2_TRUE.phy,0.043248805,-4
3--4-tryfinal_fa1_ll3_TRUE.phy,0.039795207,-4
3--4-tryfinal_fa1_ll4_TRUE.phy,0.038374172,-4
3-0-tryfinal_fa1_hh0_TRUE.phy,0.681469201,0
3-0-tryfinal_fa1_hh1_TRUE.phy,0.681305481,0
3-0-tryfinal_fa1_hh2_TRUE.phy,0.682629099,0
3-0-tryfinal_fa1_hh3_TRUE.phy,0.683513829,0
3-0-tryfinal_fa1_hh4_TRUE.phy,0.684453575,0
3-0-tryfinal_fa1_ll0_TRUE.phy,0.683775982,0
3-0-tryfinal_fa1_ll1_TRUE.phy,0.687015776,0
3-0-tryfinal_fa1_ll2_TRUE.phy,0.681106798,0
3-0-tryfinal_fa1_ll3_TRUE.phy,0.685084501,0
3-0-tryfinal_fa1_ll4_TRUE.phy,0.685239858,0
3-1-tryfinal_fa1_hh0_TRUE.phy,0.770725341,1
3-1-tryfinal_fa1_hh1_TRUE.phy,0.770812419,1
3-1-tryfinal_fa1_hh2_TRUE.phy,0.77083707,1
3-1-tryfinal_fa1_hh3_TRUE.phy,0.771415792,1
3-1-tryfinal_fa1_hh4_TRUE.phy,0.770494851,1
3-1-tryfinal_fa1_ll0_TRUE.phy,0.771724514,1
3-1-tryfinal_fa1_ll1_TRUE.phy,0.77046053,1
3-1-tryfinal_fa1_ll2_TRUE.phy,0.770546196,1
3-1-tryfinal_fa1_ll3_TRUE.phy,0.771224775,1
3-1-tryfinal_fa1_ll4_TRUE.phy,0.770308096,1
3-2-tryfinal_fa1_hh0_TRUE.phy,0.787238511,2
3-2-tryfinal_fa1_hh1_TRUE.phy,0.787118359,2
3-2-tryfinal_fa1_hh2_TRUE.phy,0.78726006,2
3-2-tryfinal_fa1_hh3_TRUE.phy,0.78722019,2
3-2-tryfinal_fa1_hh4_TRUE.phy,0.78723507,2
3-2-tryfinal_fa1_ll0_TRUE.phy,0.787321059,2
3-2-tryfinal_fa1_ll1_TRUE.phy,0.787156751,2
3-2-tryfinal_fa1_ll2_TRUE.phy,0.787384033,2
3-2-tryfinal_fa1_ll3_TRUE.phy,0.787213085,2
3-2-tryfinal_fa1_ll4_TRUE.phy,0.787462923,2
3-3-tryfinal_fa1_hh0_TRUE.phy,0.789167952,3
3-3-tryfinal_fa1_hh1_TRUE.phy,0.78915888,3
3-3-tryfinal_fa1_hh2_TRUE.phy,0.789474531,3
3-3-tryfinal_fa1_hh3_TRUE.phy,0.789449433,3
3-3-tryfinal_fa1_hh4_TRUE.phy,0.789257054,3
3-3-tryfinal_fa1_ll0_TRUE.phy,0.789344705,3
3-3-tryfinal_fa1_ll1_TRUE.phy,0.789472582,3
3-3-tryfinal_fa1_ll2_TRUE.phy,0.789344716,3
3-3-tryfinal_fa1_ll3_TRUE.phy,0.78939334,3
3-3-tryfinal_fa1_ll4_TRUE.phy,0.789262126,3
