filename,p-distance,factor
3_-1-tryfinal_fa1_hh0_TRUE.phy,0.035321501,-1
3_-1-tryfinal_fa1_hh1_TRUE.phy,0.0354719,-1
3_-1-tryfinal_fa1_hh2_TRUE.phy,0.035740294,-1
3_-1-tryfinal_fa1_hh3_TRUE.phy,0.035413806,-1
3_-1-tryfinal_fa1_hh4_TRUE.phy,0.035722484,-1
3_-1-tryfinal_fa1_ll0_TRUE.phy,0.03568418,-1
3_-1-tryfinal_fa1_ll1_TRUE.phy,0.035522618,-1
3_-1-tryfinal_fa1_ll2_TRUE.phy,0.035812128,-1
3_-1-tryfinal_fa1_ll3_TRUE.phy,0.035855792,-1
3_-1-tryfinal_fa1_ll4_TRUE.phy,0.035389563,-1
3_-2-tryfinal_fa1_hh0_TRUE.phy,0.020695712,-2
3_-2-tryfinal_fa1_hh1_TRUE.phy,0.021078182,-2
3_-2-tryfinal_fa1_hh2_TRUE.phy,0.021486217,-2
3_-2-tryfinal_fa1_hh3_TRUE.phy,0.020814014,-2
3_-2-tryfinal_fa1_hh4_TRUE.phy,0.020702785,-2
3_-2-tryfinal_fa1_ll0_TRUE.phy,0.020900424,-2
3_-2-tryfinal_fa1_ll1_TRUE.phy,0.020186837,-2
3_-2-tryfinal_fa1_ll2_TRUE.phy,0.020925392,-2
3_-2-tryfinal_fa1_ll3_TRUE.phy,0.020182611,-2
3_-2-tryfinal_fa1_ll4_TRUE.phy,0.020129712,-2
3_-3-tryfinal_fa1_hh0_TRUE.phy,0.008959471,-3
3_-3-tryfinal_fa1_hh1_TRUE.phy,0.008614981,-3
3_-3-tryfinal_fa1_hh2_TRUE.phy,0.009751387,-3
3_-3-tryfinal_fa1_hh3_TRUE.phy,0.008491616,-3
3_-3-tryfinal_fa1_hh4_TRUE.phy,0.008924643,-3
3_-3-tryfinal_fa1_ll0_TRUE.phy,0.00919774,-3
3_-3-tryfinal_fa1_ll1_TRUE.phy,0.009356647,-3
3_-3-tryfinal_fa1_ll2_TRUE.phy,0.009349622,-3
3_-3-tryfinal_fa1_ll3_TRUE.phy,0.009308809,-3
3_-3-tryfinal_fa1_ll4_TRUE.phy,0.009570394,-3
3_-4-tryfinal_fa1_hh0_TRUE.phy,0.003385528,-4
3_-4-tryfinal_fa1_hh1_TRUE.phy,0.003468208,-4
3_-4-tryfinal_fa1_hh2_TRUE.phy,0.003518244,-4
3_-4-tryfinal_fa1_hh3_TRUE.phy,0.003400286,-4
3_-4-tryfinal_fa1_hh4_TRUE.phy,0.003665223,-4
3_-4-tryfinal_fa1_ll0_TRUE.phy,0.00334203,-4
3_-4-tryfinal_fa1_ll1_TRUE.phy,0.003829536,-4
3_-4-tryfinal_fa1_ll2_TRUE.phy,0.003258328,-4
3_-4-tryfinal_fa1_ll3_TRUE.phy,0.003472595,-4
3_-4-tryfinal_fa1_ll4_TRUE.phy,0.003733854,-4
3_0-tryfinal_fa1_hh0_TRUE.phy,0.046264547,0
3_0-tryfinal_fa1_hh1_TRUE.phy,0.046410172,0
3_0-tryfinal_fa1_hh2_TRUE.phy,0.046511064,0
3_0-tryfinal_fa1_hh3_TRUE.phy,0.046642469,0
3_0-tryfinal_fa1_hh4_TRUE.phy,0.046474352,0
3_0-tryfinal_fa1_ll0_TRUE.phy,0.04635555,0
3_0-tryfinal_fa1_ll1_TRUE.phy,0.046239178,0
3_0-tryfinal_fa1_ll2_TRUE.phy,0.046228883,0
3_0-tryfinal_fa1_ll3_TRUE.phy,0.046264123,0
3_0-tryfinal_fa1_ll4_TRUE.phy,0.046278682,0
3_1-tryfinal_fa1_hh0_TRUE.phy,0.050403924,1
3_1-tryfinal_fa1_hh1_TRUE.phy,0.050346418,1
3_1-tryfinal_fa1_hh2_TRUE.phy,0.050339298,1
3_1-tryfinal_fa1_hh3_TRUE.phy,0.050271965,1
3_1-tryfinal_fa1_hh4_TRUE.phy,0.050408852,1
3_1-tryfinal_fa1_ll0_TRUE.phy,0.050334155,1
3_1-tryfinal_fa1_ll1_TRUE.phy,0.050321069,1
3_1-tryfinal_fa1_ll2_TRUE.phy,0.050356282,1
3_1-tryfinal_fa1_ll3_TRUE.phy,0.050341648,1
3_1-tryfinal_fa1_ll4_TRUE.phy,0.050334223,1
3_2-tryfinal_fa1_hh0_TRUE.phy,0.051230901,2
3_2-tryfinal_fa1_hh1_TRUE.phy,0.05121327,2
3_2-tryfinal_fa1_hh2_TRUE.phy,0.051192629,2
3_2-tryfinal_fa1_hh3_TRUE.phy,0.051263479,2
3_2-tryfinal_fa1_hh4_TRUE.phy,0.051226545,2
3_2-tryfinal_fa1_ll0_TRUE.phy,0.051246672,2
