filename,p-distance,factor
3_-1-tryfinal_fa1_hh0_TRUE.phy,0.430556735,-1
3_-1-tryfinal_fa1_hh1_TRUE.phy,0.423711947,-1
3_-1-tryfinal_fa1_hh2_TRUE.phy,0.422738018,-1
3_-1-tryfinal_fa1_hh3_TRUE.phy,0.430073839,-1
3_-1-tryfinal_fa1_hh4_TRUE.phy,0.427151764,-1
3_-1-tryfinal_fa1_ll0_TRUE.phy,0.426138908,-1
3_-1-tryfinal_fa1_ll1_TRUE.phy,0.422743856,-1
3_-1-tryfinal_fa1_ll2_TRUE.phy,0.428225216,-1
3_-1-tryfinal_fa1_ll3_TRUE.phy,0.432031624,-1
3_-1-tryfinal_fa1_ll4_TRUE.phy,0.424787677,-1
3_-2-tryfinal_fa1_hh0_TRUE.phy,0.252975047,-2
3_-2-tryfinal_fa1_hh1_TRUE.phy,0.254439942,-2
3_-2-tryfinal_fa1_hh2_TRUE.phy,0.253745477,-2
3_-2-tryfinal_fa1_hh3_TRUE.phy,0.255668903,-2
3_-2-tryfinal_fa1_hh4_TRUE.phy,0.24292162,-2
3_-2-tryfinal_fa1_ll0_TRUE.phy,0.255517765,-2
3_-2-tryfinal_fa1_ll1_TRUE.phy,0.247190917,-2
3_-2-tryfinal_fa1_ll2_TRUE.phy,0.251141698,-2
3_-2-tryfinal_fa1_ll3_TRUE.phy,0.255221809,-2
3_-2-tryfinal_fa1_ll4_TRUE.phy,0.252975184,-2
3_-3-tryfinal_fa1_hh0_TRUE.phy,0.121299546,-3
3_-3-tryfinal_fa1_hh1_TRUE.phy,0.116887488,-3
3_-3-tryfinal_fa1_hh2_TRUE.phy,0.113619482,-3
3_-3-tryfinal_fa1_hh3_TRUE.phy,0.111000853,-3
3_-3-tryfinal_fa1_hh4_TRUE.phy,0.115253133,-3
3_-3-tryfinal_fa1_ll0_TRUE.phy,0.109653395,-3
3_-3-tryfinal_fa1_ll1_TRUE.phy,0.112608262,-3
3_-3-tryfinal_fa1_ll2_TRUE.phy,0.11330708,-3
3_-3-tryfinal_fa1_ll3_TRUE.phy,0.1117624,-3
3_-3-tryfinal_fa1_ll4_TRUE.phy,0.114625281,-3
