filename,method,NL,TRUE_NE,ESTI_NE,FN,FP,RF,factor
3_-1-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,260,3,3,0.011538,-1
3_-1-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,260,6,6,0.023077,-1
3_-2-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,260,10,10,0.038462,-2
3_-2-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,258,8,10,0.034749,-2
3_-3-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,249,21,32,0.104126,-3
3_-3-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,253,22,29,0.099415,-3
3_-4-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,243,64,81,0.28827,-4
3_-4-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,235,54,79,0.268687,-4
3_0-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,260,21,21,0.080769,0
3_0-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,260,22,22,0.084615,0
3_1-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,260,84,84,0.323077,1
3_1-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,260,79,79,0.303846,1
3_2-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,260,168,168,0.646154,2
3_2-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,260,169,169,0.65,2
3_3-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,263,260,260,212,212,0.815385,3
3_3-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,263,260,260,207,207,0.796154,3
3_-1-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,5,5,0.019231,-1
3_-1-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,8,8,0.030769,-1
3_-2-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,10,10,0.038462,-2
3_-2-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,11,11,0.042308,-2
3_-3-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,30,30,0.115385,-3
3_-3-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,28,28,0.107692,-3
3_-4-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,82,82,0.315385,-4
3_-4-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,80,80,0.307692,-4
3_0-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,28,28,0.107692,0
3_0-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,25,25,0.096154,0
3_1-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,103,103,0.396154,1
3_1-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,110,110,0.423077,1
3_2-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,161,161,0.619231,2
3_2-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,211,211,0.811538,2
3_3-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,263,260,260,214,214,0.823077,3
3_3-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,263,260,260,198,198,0.761538,3
RAxML_parsimonyTree.3_-1-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,263,260,260,5,5,0.019231,-1
RAxML_parsimonyTree.3_-1-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,263,260,260,14,14,0.053846,-1
RAxML_parsimonyTree.3_-2-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,263,260,260,11,11,0.042308,-2
RAxML_parsimonyTree.3_-2-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,263,260,260,10,10,0.038462,-2
RAxML_parsimonyTree.3_-3-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,263,260,260,39,39,0.15,-3
RAxML_parsimonyTree.3_-3-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,263,260,260,32,32,0.123077,-3
RAxML_parsimonyTree.3_-4-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,263,260,260,84,84,0.323077,-4
RAxML_parsimonyTree.3_-4-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,263,260,260,84,84,0.323077,-4
RAxML_parsimonyTree.3_0-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,263,260,260,22,22,0.084615,0
RAxML_parsimonyTree.3_0-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,263,260,260,24,24,0.092308,0
RAxML_parsimonyTree.3_1-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,263,260,260,96,96,0.369231,1
RAxML_parsimonyTree.3_1-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,263,260,260,92,92,0.353846,1
RAxML_parsimonyTree.3_2-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,263,260,260,161,161,0.619231,2
RAxML_parsimonyTree.3_2-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,263,260,260,167,167,0.642308,2
RAxML_parsimonyTree.3_3-tryfinal_fa1_hh0_TRUE.phy_raxml,raxml,263,260,260,205,205,0.788462,3
RAxML_parsimonyTree.3_3-tryfinal_fa1_ll0_TRUE.phy_raxml,raxml,263,260,260,205,205,0.788462,3
