filename,method,NL,TRUE_NE,ESTI_NE,FN,FP,RF,factor
3--1-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,1028,1025,1007,39,57,0.047244,-1
3--1-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,1028,1025,1005,39,59,0.048276,-1
3--2-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,1028,1025,1001,71,95,0.081935,-2
3--2-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,1028,1025,995,73,103,0.087129,-2
3--3-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,1028,1025,977,156,204,0.17982,-3
3--3-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,1028,1025,975,169,219,0.194,-3
3--4-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,1028,1025,914,314,425,0.381124,-4
3--4-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,1028,1025,905,302,422,0.37513,-4
3-0-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,1028,1025,1012,57,70,0.062347,0
3-0-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,1028,1025,1012,58,71,0.063328,0
3-1-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,1028,1025,1012,130,143,0.134021,1
3-1-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,1028,1025,1013,115,127,0.118744,1
3-2-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,1028,1025,1013,466,478,0.463199,2
3-2-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,1028,1025,1014,427,438,0.424228,2
3-3-tryfinal_fa1_hh0_TRUE.phy.res.txt,fastTree,1028,1025,1016,749,758,0.738364,3
3-3-tryfinal_fa1_ll0_TRUE.phy.res.txt,fastTree,1028,1025,1013,763,775,0.754661,3
3--1-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,1028,1025,1025,56,56,0.054634,-1
3--1-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,1028,1025,1025,59,59,0.057561,-1
3--2-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,1028,1025,1025,99,99,0.096585,-2
3--2-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,1028,1025,1025,104,104,0.101463,-2
3--3-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,1028,1025,1025,211,211,0.205854,-3
3--3-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,1028,1025,1025,221,221,0.21561,-3
3--4-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,1028,1025,1025,433,433,0.422439,-4
3--4-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,1028,1025,1025,434,434,0.423415,-4
3-0-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,1028,1025,1025,84,84,0.081951,0
3-0-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,1028,1025,1025,80,80,0.078049,0
3-1-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,1028,1025,1025,162,162,0.158049,1
3-1-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,1028,1025,1025,191,191,0.186341,1
3-2-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,1028,1025,1025,518,518,0.505366,2
3-2-tryfinal_fa1_ll0_TRUE.phy.treefile,iqtree,1028,1025,1025,523,523,0.510244,2
3-3-tryfinal_fa1_hh0_TRUE.phy.treefile,iqtree,1028,1025,1025,854,854,0.833171,3
