factor,method,nl,ei1,ei2,fp,fn,rf
0,fastTree,901,898,886,80,92,0.096413
0,RAxML,901,898,898,166,166,0.184855
0,iqtree,901,898,898,94,94,0.104677
1,fastTree,901,898,873,62,87,0.084133
1,RAxML,901,898,898,166,166,0.184855
1,iqtree,901,898,898,92,92,0.102450
2,fastTree,901,898,825,193,266,0.266396
2,RAxML,901,898,898,166,166,0.184855
2,iqtree,901,898,898,266,266,0.296214
3,fastTree,901,898,650,306,554,0.555556
3,RAxML,901,898,898,166,166,0.184855
3,iqtree,901,898,898,550,550,0.612472
4,fastTree,901,898,268,157,787,0.809605
4,RAxML,901,898,898,166,166,0.184855
4,iqtree,901,898,898,786,786,0.875278
5,fastTree,901,898,97,68,869,0.941709
5,RAxML,901,898,898,166,166,0.184855
5,iqtree,901,898,898,867,867,0.965479
6,fastTree,901,898,21,12,889,0.980413
6,RAxML,901,898,898,166,166,0.184855
6,iqtree,901,898,898,889,889,0.989978
7,fastTree,901,898,5,3,896,0.995570
7,RAxML,901,898,898,166,166,0.184855
7,iqtree,901,898,898,896,896,0.997773
8,fastTree,901,898,0,0,898,1.000000
8,RAxML,901,898,898,166,166,0.184855
8,iqtree,901,898,898,898,898,1.000000
9,fastTree,901,898,0,0,898,1.000000
9,RAxML,901,898,898,166,166,0.184855
9,iqtree,901,898,898,898,898,1.000000
