MODL,REPL,NL,TRUE_NE,ESTI_NE,FN,FP,RF
100M1,R0,100,97,97,6,6,0.061856
100M1,R1,100,97,97,9,9,0.092784
100M1,R2,100,97,97,12,12,0.123711
100M1,R3,100,96,97,14,13,0.139896
100M1,R4,100,96,97,13,12,0.129534
100M1,R5,100,97,97,7,7,0.072165
100M1,R6,100,97,97,19,19,0.195876
100M1,R7,100,97,97,6,6,0.061856
100M1,R8,100,97,97,5,5,0.051546
100M1,R9,100,95,97,8,6,0.072917
100M1,R10,100,97,97,12,12,0.123711
100M1,R11,100,97,97,8,8,0.082474
100M1,R12,100,97,97,8,8,0.082474
100M1,R13,100,97,97,9,9,0.092784
100M1,R14,100,97,97,8,8,0.082474
100M1,R15,100,97,97,9,9,0.092784
100M1,R16,100,97,97,10,10,0.103093
100M1,R17,100,96,97,15,14,0.150259
100M1,R18,100,97,97,9,9,0.092784
100M1,R19,100,97,97,10,10,0.103093
100M2,R0,100,97,97,7,7,0.072165
100M2,R1,100,96,97,7,6,0.067358
100M2,R2,100,96,97,8,7,0.077720
100M2,R3,100,97,97,4,4,0.041237
100M2,R4,100,97,97,4,4,0.041237
100M2,R5,100,97,97,7,7,0.072165
100M2,R6,100,97,97,5,5,0.051546
100M2,R7,100,93,97,13,9,0.115789
100M2,R8,100,97,97,9,9,0.092784
100M2,R9,100,96,97,5,4,0.046632
100M2,R10,100,95,97,7,5,0.062500
100M2,R11,100,96,97,12,11,0.119171
100M2,R12,100,97,97,5,5,0.051546
100M2,R13,100,97,97,4,4,0.041237
100M2,R14,100,96,97,6,5,0.056995
100M2,R15,100,97,97,6,6,0.061856
100M2,R16,100,96,97,8,7,0.077720
100M2,R17,100,97,97,9,9,0.092784
100M2,R18,100,96,97,7,6,0.067358
100M2,R19,100,96,97,6,5,0.056995
100M3,R0,100,97,97,4,4,0.041237
100M3,R1,100,95,97,9,7,0.083333
100M3,R2,100,97,97,3,3,0.030928
100M3,R3,100,97,97,11,11,0.113402
100M3,R4,100,96,97,8,7,0.077720
100M3,R5,100,94,97,12,9,0.109948
100M3,R6,100,96,97,4,3,0.036269
100M3,R7,100,97,97,6,6,0.061856
100M3,R8,100,95,97,5,3,0.041667
100M3,R9,100,95,97,4,2,0.031250
100M3,R10,100,95,97,5,3,0.041667
100M3,R11,100,95,97,8,6,0.072917
100M3,R12,100,94,97,14,11,0.130890
100M3,R13,100,95,97,5,3,0.041667
100M3,R14,100,94,97,5,2,0.036649
100M3,R15,100,95,97,10,8,0.093750
100M3,R16,100,96,97,8,7,0.077720
100M3,R17,100,94,97,12,9,0.109948
100M3,R18,100,96,97,5,4,0.046632
100M3,R19,100,96,97,12,11,0.119171
