MODL,REPL,MTHD,NL,TRUE_NE,ESTI_NE,FN,FP,RF
500M1,R0,RAxML,500,497,497,44,44,0.088531
500M1,R0,FastTree-Dbl,500,497,497,46,46,0.092555
500M1,R0,RAxML+fastTree,500,497,497,36,36,0.072435
500M1,R1,RAxML,500,493,497,44,40,0.084848
500M1,R1,FastTree-Dbl,500,493,497,40,36,0.076768
500M1,R1,RAxML+fastTree,500,493,497,35,31,0.066667
500M1,R2,RAxML,500,495,497,54,52,0.106855
500M1,R2,FastTree-Dbl,500,495,497,55,53,0.108871
500M1,R2,RAxML+fastTree,500,495,497,42,40,0.082661
500M1,R3,RAxML,500,496,497,57,56,0.113797
500M1,R3,FastTree-Dbl,500,496,497,52,51,0.103726
500M1,R3,RAxML+fastTree,500,496,497,42,41,0.083585
500M1,R4,RAxML,500,494,497,56,53,0.109990
500M1,R4,FastTree-Dbl,500,494,497,54,51,0.105954
500M1,R4,RAxML+fastTree,500,494,497,47,44,0.091826
500M1,R5,RAxML,500,496,497,59,58,0.117825
500M1,R5,FastTree-Dbl,500,496,497,52,51,0.103726
500M1,R5,RAxML+fastTree,500,496,497,44,43,0.087613
500M1,R6,RAxML,500,493,497,67,63,0.131313
500M1,R6,FastTree-Dbl,500,493,497,58,54,0.113131
500M1,R6,RAxML+fastTree,500,493,497,52,48,0.101010
500M1,R7,RAxML,500,496,497,54,53,0.107754
500M1,R7,FastTree-Dbl,500,496,497,48,47,0.095670
500M1,R7,RAxML+fastTree,500,496,497,40,39,0.079557
500M1,R8,RAxML,500,492,497,59,54,0.114257
500M1,R8,FastTree-Dbl,500,492,497,64,59,0.124368
500M1,R8,RAxML+fastTree,500,492,497,44,39,0.083923
500M1,R9,RAxML,500,495,497,42,40,0.082661
500M1,R9,FastTree-Dbl,500,495,497,50,48,0.098790
500M1,R9,RAxML+fastTree,500,495,497,37,35,0.072581
500M1,R10,RAxML,500,496,497,53,52,0.105740
500M1,R10,FastTree-Dbl,500,496,497,49,48,0.097684
500M1,R10,RAxML+fastTree,500,496,497,40,39,0.079557
500M1,R11,RAxML,500,495,497,49,47,0.096774
500M1,R11,FastTree-Dbl,500,495,497,52,50,0.102823
500M1,R11,RAxML+fastTree,500,495,497,43,41,0.084677
500M1,R12,RAxML,500,495,497,45,43,0.088710
500M1,R12,FastTree-Dbl,500,495,497,39,37,0.076613
500M1,R12,RAxML+fastTree,500,495,497,35,33,0.068548
500M1,R13,RAxML,500,494,497,54,51,0.105954
500M1,R13,FastTree-Dbl,500,494,497,49,46,0.095863
500M1,R13,RAxML+fastTree,500,494,497,37,34,0.071645
500M1,R14,RAxML,500,492,497,44,39,0.083923
500M1,R14,FastTree-Dbl,500,492,497,49,44,0.094034
500M1,R14,RAxML+fastTree,500,492,497,39,34,0.073812
500M1,R15,RAxML,500,496,497,47,46,0.093656
500M1,R15,FastTree-Dbl,500,496,497,44,43,0.087613
500M1,R15,RAxML+fastTree,500,496,497,35,34,0.069486
500M1,R16,RAxML,500,492,497,55,50,0.106168
500M1,R16,FastTree-Dbl,500,492,497,47,42,0.089990
500M1,R16,RAxML+fastTree,500,492,497,41,36,0.077856
500M1,R17,RAxML,500,496,497,56,55,0.111782
500M1,R17,FastTree-Dbl,500,496,497,56,55,0.111782
500M1,R17,RAxML+fastTree,500,496,497,41,40,0.081571
500M1,R18,RAxML,500,495,497,55,53,0.108871
500M1,R18,FastTree-Dbl,500,495,497,68,66,0.135081
500M1,R18,RAxML+fastTree,500,495,497,51,49,0.100806
500M1,R19,RAxML,500,495,497,59,57,0.116935
500M1,R19,FastTree-Dbl,500,495,497,46,44,0.090726
500M1,R19,RAxML+fastTree,500,495,497,38,36,0.074597
500M2,R0,RAxML,500,493,497,52,48,0.101010
500M2,R0,FastTree-Dbl,500,493,497,46,42,0.088889
500M2,R0,RAxML+fastTree,500,493,497,37,33,0.070707
500M2,R1,RAxML,500,496,497,43,42,0.085599
500M2,R1,FastTree-Dbl,500,496,497,44,43,0.087613
500M2,R1,RAxML+fastTree,500,496,497,37,36,0.073515
500M2,R2,RAxML,500,495,497,45,43,0.088710
500M2,R2,FastTree-Dbl,500,495,497,40,38,0.078629
500M2,R2,RAxML+fastTree,500,495,497,32,30,0.062500
500M2,R3,RAxML,500,495,497,48,46,0.094758
500M2,R3,FastTree-Dbl,500,495,497,55,53,0.108871
500M2,R3,RAxML+fastTree,500,495,497,39,37,0.076613
500M2,R4,RAxML,500,495,497,40,38,0.078629
500M2,R4,FastTree-Dbl,500,495,497,51,49,0.100806
500M2,R4,RAxML+fastTree,500,495,497,32,30,0.062500
