MODL,REPL,MTHD,NL,TRUE_NE,ESTI_NE,FN,FP,RF
100M1,R0,FastTree,100,97,97,4,4,0.041237
100M1,R0,FastTree-Dbl,100,97,97,5,5,0.051546
100M1,R0,FastTree-Collapsed,100,97,93,0,4,0.021053
100M1,R0,FastTree-Dbl-Collapsed,100,97,92,0,5,0.026455
100M1,R0,FastTree+RAxML,100,97,97,4,4,0.041237
100M1,R0,FastTreeDbl+RAxML,100,97,97,5,5,0.051546
100M1,R0,RAxML,100,97,97,7,7,0.072165
100M1,R1,FastTree,100,97,97,11,11,0.113402
100M1,R1,FastTree-Dbl,100,97,97,11,11,0.113402
100M1,R1,FastTree-Collapsed,100,97,86,0,11,0.060109
100M1,R1,FastTree-Dbl-Collapsed,100,97,86,0,11,0.060109
100M1,R1,FastTree+RAxML,100,97,97,8,8,0.082474
100M1,R1,FastTreeDbl+RAxML,100,97,97,8,8,0.082474
100M1,R1,RAxML,100,97,97,9,9,0.092784
100M1,R2,FastTree,100,97,97,12,12,0.123711
100M1,R2,FastTree-Dbl,100,97,97,11,11,0.113402
100M1,R2,FastTree-Collapsed,100,97,85,0,12,0.065934
100M1,R2,FastTree-Dbl-Collapsed,100,97,86,0,11,0.060109
100M1,R2,FastTree+RAxML,100,97,97,9,9,0.092784
100M1,R2,FastTreeDbl+RAxML,100,97,97,7,7,0.072165
100M1,R2,RAxML,100,97,97,12,12,0.123711
100M1,R3,FastTree,100,96,97,12,11,0.119171
100M1,R3,FastTree-Dbl,100,96,97,12,11,0.119171
100M1,R3,FastTree-Collapsed,100,96,85,0,11,0.060773
100M1,R3,FastTree-Dbl-Collapsed,100,96,85,0,11,0.060773
100M1,R3,FastTree+RAxML,100,96,97,11,10,0.108808
100M1,R3,FastTreeDbl+RAxML,100,96,97,12,11,0.119171
100M1,R3,RAxML,100,96,97,13,12,0.129534
100M1,R4,FastTree,100,96,97,11,10,0.108808
100M1,R4,FastTree-Dbl,100,96,97,11,10,0.108808
100M1,R4,FastTree-Collapsed,100,96,86,0,10,0.054945
100M1,R4,FastTree-Dbl-Collapsed,100,96,86,0,10,0.054945
100M1,R4,FastTree+RAxML,100,96,97,10,9,0.098446
100M1,R4,FastTreeDbl+RAxML,100,96,97,10,9,0.098446
100M1,R4,RAxML,100,96,97,13,12,0.129534
100M1,R5,FastTree,100,97,97,5,5,0.051546
100M1,R5,FastTree-Dbl,100,97,97,6,6,0.061856
100M1,R5,FastTree-Collapsed,100,97,92,0,5,0.026455
100M1,R5,FastTree-Dbl-Collapsed,100,97,91,0,6,0.031915
100M1,R5,FastTree+RAxML,100,97,97,4,4,0.041237
100M1,R5,FastTreeDbl+RAxML,100,97,97,4,4,0.041237
100M1,R5,RAxML,100,97,97,5,5,0.051546
100M1,R6,FastTree,100,97,97,17,17,0.175258
100M1,R6,FastTree-Dbl,100,97,97,17,17,0.175258
100M1,R6,FastTree-Collapsed,100,97,80,0,17,0.096045
100M1,R6,FastTree-Dbl-Collapsed,100,97,80,0,17,0.096045
100M1,R6,FastTree+RAxML,100,97,97,17,17,0.175258
100M1,R6,FastTreeDbl+RAxML,100,97,97,17,17,0.175258
100M1,R6,RAxML,100,97,97,18,18,0.185567
100M1,R7,FastTree,100,97,97,8,8,0.082474
100M1,R7,FastTree-Dbl,100,97,97,7,7,0.072165
100M1,R7,FastTree-Collapsed,100,97,89,0,8,0.043011
100M1,R7,FastTree-Dbl-Collapsed,100,97,90,0,7,0.037433
100M1,R7,FastTree+RAxML,100,97,97,6,6,0.061856
100M1,R7,FastTreeDbl+RAxML,100,97,97,7,7,0.072165
100M1,R7,RAxML,100,97,97,7,7,0.072165
100M1,R8,FastTree,100,97,97,6,6,0.061856
100M1,R8,FastTree-Dbl,100,97,97,6,6,0.061856
100M1,R8,FastTree-Collapsed,100,97,91,0,6,0.031915
100M1,R8,FastTree-Dbl-Collapsed,100,97,91,0,6,0.031915
100M1,R8,FastTree+RAxML,100,97,97,5,5,0.051546
100M1,R8,FastTreeDbl+RAxML,100,97,97,5,5,0.051546
100M1,R8,RAxML,100,97,97,5,5,0.051546
100M1,R9,FastTree,100,95,97,11,9,0.104167
100M1,R9,FastTree-Dbl,100,95,97,11,9,0.104167
100M1,R9,FastTree-Collapsed,100,95,86,0,9,0.049724
100M1,R9,FastTree-Dbl-Collapsed,100,95,86,0,9,0.049724
100M1,R9,FastTree+RAxML,100,95,97,8,6,0.072917
100M1,R9,FastTreeDbl+RAxML,100,95,97,8,6,0.072917
100M1,R9,RAxML,100,95,97,9,7,0.083333
100M1,R10,FastTree,100,97,97,13,13,0.134021
100M1,R10,FastTree-Dbl,100,97,97,13,13,0.134021
100M1,R10,FastTree-Collapsed,100,97,84,0,13,0.071823
100M1,R10,FastTree-Dbl-Collapsed,100,97,84,0,13,0.071823
100M1,R10,FastTree+RAxML,100,97,97,10,10,0.103093
100M1,R10,FastTreeDbl+RAxML,100,97,97,10,10,0.103093
100M1,R10,RAxML,100,97,97,11,11,0.113402
100M1,R11,FastTree,100,97,97,9,9,0.092784
100M1,R11,FastTree-Dbl,100,97,97,10,10,0.103093
100M1,R11,FastTree-Collapsed,100,97,88,0,9,0.048649
100M1,R11,FastTree-Dbl-Collapsed,100,97,87,0,10,0.054348
100M1,R11,FastTree+RAxML,100,97,97,8,8,0.082474
100M1,R11,FastTreeDbl+RAxML,100,97,97,8,8,0.082474
100M1,R11,RAxML,100,97,97,8,8,0.082474
100M1,R12,FastTree,100,97,97,6,6,0.061856
100M1,R12,FastTree-Dbl,100,97,97,6,6,0.061856
100M1,R12,FastTree-Collapsed,100,97,91,0,6,0.031915
100M1,R12,FastTree-Dbl-Collapsed,100,97,91,0,6,0.031915
100M1,R12,FastTree+RAxML,100,97,97,6,6,0.061856
100M1,R12,FastTreeDbl+RAxML,100,97,97,6,6,0.061856
100M1,R12,RAxML,100,97,97,8,8,0.082474
100M1,R13,FastTree,100,97,97,9,9,0.092784
100M1,R13,FastTree-Dbl,100,97,97,8,8,0.082474
100M1,R13,FastTree-Collapsed,100,97,88,0,9,0.048649
100M1,R13,FastTree-Dbl-Collapsed,100,97,89,0,8,0.043011
100M1,R13,FastTree+RAxML,100,97,97,5,5,0.051546
100M1,R13,FastTreeDbl+RAxML,100,97,97,5,5,0.051546
100M1,R13,RAxML,100,97,97,8,8,0.082474
100M1,R14,FastTree,100,97,97,6,6,0.061856
100M1,R14,FastTree-Dbl,100,97,97,6,6,0.061856
100M1,R14,FastTree-Collapsed,100,97,91,0,6,0.031915
100M1,R14,FastTree-Dbl-Collapsed,100,97,91,0,6,0.031915
100M1,R14,FastTree+RAxML,100,97,97,4,4,0.041237
100M1,R14,FastTreeDbl+RAxML,100,97,97,4,4,0.041237
100M1,R14,RAxML,100,97,97,7,7,0.072165
100M1,R15,FastTree,100,97,97,9,9,0.092784
100M1,R15,FastTree-Dbl,100,97,97,9,9,0.092784
100M1,R15,FastTree-Collapsed,100,97,88,0,9,0.048649
100M1,R15,FastTree-Dbl-Collapsed,100,97,88,0,9,0.048649
100M1,R15,FastTree+RAxML,100,97,97,8,8,0.082474
100M1,R15,FastTreeDbl+RAxML,100,97,97,8,8,0.082474
100M1,R15,RAxML,100,97,97,8,8,0.082474
100M1,R16,FastTree,100,97,97,12,12,0.123711
100M1,R16,FastTree-Dbl,100,97,97,12,12,0.123711
100M1,R16,FastTree-Collapsed,100,97,85,0,12,0.065934
100M1,R16,FastTree-Dbl-Collapsed,100,97,85,0,12,0.065934
100M1,R16,FastTree+RAxML,100,97,97,10,10,0.103093
100M1,R16,FastTreeDbl+RAxML,100,97,97,10,10,0.103093
100M1,R16,RAxML,100,97,97,10,10,0.103093
100M1,R17,FastTree,100,96,97,7,6,0.067358
100M1,R17,FastTree-Dbl,100,96,97,8,7,0.077720
100M1,R17,FastTree-Collapsed,100,96,90,0,6,0.032258
100M1,R17,FastTree-Dbl-Collapsed,100,96,89,0,7,0.037838
100M1,R17,FastTree+RAxML,100,96,97,6,5,0.056995
100M1,R17,FastTreeDbl+RAxML,100,96,97,5,4,0.046632
100M1,R17,RAxML,100,96,97,9,8,0.088083
100M1,R18,FastTree,100,97,97,12,12,0.123711
100M1,R18,FastTree-Dbl,100,97,97,12,12,0.123711
100M1,R18,FastTree-Collapsed,100,97,85,0,12,0.065934
100M1,R18,FastTree-Dbl-Collapsed,100,97,85,0,12,0.065934
100M1,R18,FastTree+RAxML,100,97,97,8,8,0.082474
100M1,R18,FastTreeDbl+RAxML,100,97,97,8,8,0.082474
100M1,R18,RAxML,100,97,97,10,10,0.103093
100M1,R19,FastTree,100,97,97,7,7,0.072165
100M1,R19,FastTree-Dbl,100,97,97,7,7,0.072165
100M1,R19,FastTree-Collapsed,100,97,90,0,7,0.037433
100M1,R19,FastTree-Dbl-Collapsed,100,97,90,0,7,0.037433
100M1,R19,FastTree+RAxML,100,97,97,7,7,0.072165
100M1,R19,FastTreeDbl+RAxML,100,97,97,7,7,0.072165
100M1,R19,RAxML,100,97,97,9,9,0.092784
100M2,R0,FastTree,100,97,97,6,6,0.061856
100M2,R0,FastTree-Dbl,100,97,97,5,5,0.051546
100M2,R0,FastTree-Collapsed,100,97,91,0,6,0.031915
100M2,R0,FastTree-Dbl-Collapsed,100,97,92,0,5,0.026455
100M2,R0,FastTree+RAxML,100,97,97,4,4,0.041237
100M2,R0,FastTreeDbl+RAxML,100,97,97,3,3,0.030928
100M2,R0,RAxML,100,97,97,6,6,0.061856
100M2,R1,FastTree,100,96,97,9,8,0.088083
100M2,R1,FastTree-Dbl,100,96,97,9,8,0.088083
100M2,R1,FastTree-Collapsed,100,96,88,0,8,0.043478
100M2,R1,FastTree-Dbl-Collapsed,100,96,88,0,8,0.043478
100M2,R1,FastTree+RAxML,100,96,97,6,5,0.056995
100M2,R1,FastTreeDbl+RAxML,100,96,97,6,5,0.056995
100M2,R1,RAxML,100,96,97,8,7,0.077720
100M2,R2,FastTree,100,96,97,8,7,0.077720
100M2,R2,FastTree-Dbl,100,96,97,8,7,0.077720
100M2,R2,FastTree-Collapsed,100,96,89,0,7,0.037838
100M2,R2,FastTree-Dbl-Collapsed,100,96,89,0,7,0.037838
100M2,R2,FastTree+RAxML,100,96,97,7,6,0.067358
100M2,R2,FastTreeDbl+RAxML,100,96,97,7,6,0.067358
100M2,R2,RAxML,100,96,97,8,7,0.077720
100M2,R3,FastTree,100,97,97,4,4,0.041237
100M2,R3,FastTree-Dbl,100,97,97,4,4,0.041237
100M2,R3,FastTree-Collapsed,100,97,93,0,4,0.021053
100M2,R3,FastTree-Dbl-Collapsed,100,97,93,0,4,0.021053
100M2,R3,FastTree+RAxML,100,97,97,4,4,0.041237
100M2,R3,FastTreeDbl+RAxML,100,97,97,4,4,0.041237
100M2,R3,RAxML,100,97,97,4,4,0.041237
100M2,R4,FastTree,100,97,97,7,7,0.072165
100M2,R4,FastTree-Dbl,100,97,97,7,7,0.072165
100M2,R4,FastTree-Collapsed,100,97,90,0,7,0.037433
100M2,R4,FastTree-Dbl-Collapsed,100,97,90,0,7,0.037433
100M2,R4,FastTree+RAxML,100,97,97,3,3,0.030928
100M2,R4,FastTreeDbl+RAxML,100,97,97,2,2,0.020619
