method factor replica nl ei1 ei2 fp fn rf
fastTree 3 0 1000 996 997 476 475 0.477170
iqtree 3 0 1000 996 997 409 408 0.409935
raxml 3 0 1000 996 997 580 579 0.581535
fastTree 3 1 1000 996 997 466 465 0.467135
iqtree 3 1 1000 996 997 418 417 0.418966
raxml 3 1 1000 996 997 604 603 0.605620
fastTree 3 2 1000 996 997 463 462 0.464124
iqtree 3 2 1000 996 997 414 413 0.414952
raxml 3 2 1000 996 997 591 590 0.592574
fastTree 3 3 1000 996 997 483 482 0.484195
iqtree 3 3 1000 996 997 401 400 0.401907
raxml 3 3 1000 996 997 612 611 0.613648
fastTree 3 4 1000 996 997 467 466 0.468138
iqtree 3 4 1000 996 997 380 379 0.380833
raxml 3 4 1000 996 997 601 600 0.602609
fastTree 3 5 1000 996 997 484 483 0.485198
iqtree 3 5 1000 996 997 394 393 0.394882
raxml 3 5 1000 996 997 614 613 0.615655
fastTree 3 6 1000 996 997 481 480 0.482188
iqtree 3 6 1000 996 997 413 412 0.413949
raxml 3 6 1000 996 997 626 625 0.627697
fastTree 3 7 1000 996 997 470 469 0.471149
iqtree 3 7 1000 996 997 380 379 0.380833
raxml 3 7 1000 996 997 629 628 0.630707
fastTree 3 8 1000 996 997 483 482 0.484195
iqtree 3 8 1000 996 997 416 415 0.416959
raxml 3 8 1000 996 997 593 592 0.594581
fastTree 3 9 1000 996 997 467 466 0.468138
iqtree 3 9 1000 996 997 408 407 0.408931
raxml 3 9 1000 996 997 602 601 0.603613
fastTree 4 0 1000 996 997 42 41 0.041646
iqtree 4 0 1000 996 997 44 43 0.043653
raxml 4 0 1000 996 997 52 51 0.051681
fastTree 4 1 1000 996 997 45 44 0.044656
iqtree 4 1 1000 996 997 43 42 0.042649
raxml 4 1 1000 996 997 54 53 0.053688
fastTree 4 2 1000 996 997 50 49 0.049674
iqtree 4 2 1000 996 997 46 45 0.045660
raxml 4 2 1000 996 997 60 59 0.059709
fastTree 4 3 1000 996 997 52 51 0.051681
iqtree 4 3 1000 996 997 47 46 0.046663
raxml 4 3 1000 996 997 58 57 0.057702
fastTree 4 4 1000 996 997 43 42 0.042649
iqtree 4 4 1000 996 997 39 38 0.038635
raxml 4 4 1000 996 997 56 55 0.055695
fastTree 4 5 1000 996 997 32 31 0.031611
iqtree 4 5 1000 996 997 35 34 0.034621
raxml 4 5 1000 996 997 53 52 0.052684
fastTree 4 6 1000 996 997 52 51 0.051681
iqtree 4 6 1000 996 997 54 53 0.053688
raxml 4 6 1000 996 997 60 59 0.059709
fastTree 4 7 1000 996 997 46 45 0.045660
iqtree 4 7 1000 996 997 46 45 0.045660
raxml 4 7 1000 996 997 53 52 0.052684
fastTree 4 8 1000 996 997 44 43 0.043653
iqtree 4 8 1000 996 997 43 42 0.042649
raxml 4 8 1000 996 997 52 51 0.051681
fastTree 4 9 1000 996 997 47 46 0.046663
iqtree 4 9 1000 996 997 45 44 0.044656
raxml 4 9 1000 996 997 45 44 0.044656
fastTree 5 0 1000 996 997 41 40 0.040642
iqtree 5 0 1000 996 997 39 38 0.038635
raxml 5 0 1000 996 997 38 37 0.037632
fastTree 5 1 1000 996 997 35 34 0.034621
iqtree 5 1 1000 996 997 35 34 0.034621
raxml 5 1 1000 996 997 45 44 0.044656
fastTree 5 2 1000 996 997 41 40 0.040642
iqtree 5 2 1000 996 997 35 34 0.034621
raxml 5 2 1000 996 997 32 31 0.031611
fastTree 5 3 1000 996 997 32 31 0.031611
iqtree 5 3 1000 996 997 29 28 0.028600
raxml 5 3 1000 996 997 31 30 0.030607
fastTree 5 4 1000 996 997 33 32 0.032614
iqtree 5 4 1000 996 997 34 33 0.033618
raxml 5 4 1000 996 997 34 33 0.033618
fastTree 5 5 1000 996 997 32 31 0.031611
iqtree 5 5 1000 996 997 31 30 0.030607
raxml 5 5 1000 996 997 39 38 0.038635
fastTree 5 6 1000 996 997 25 24 0.024586
iqtree 5 6 1000 996 997 27 26 0.026593
raxml 5 6 1000 996 997 31 30 0.030607
fastTree 5 7 1000 996 997 40 39 0.039639
iqtree 5 7 1000 996 997 37 36 0.036628
raxml 5 7 1000 996 997 36 35 0.035625
fastTree 5 8 1000 996 997 41 40 0.040642
iqtree 5 8 1000 996 997 40 39 0.039639
raxml 5 8 1000 996 997 48 47 0.047667
fastTree 5 9 1000 996 997 36 35 0.035625
iqtree 5 9 1000 996 997 37 36 0.036628
raxml 5 9 1000 996 997 42 41 0.041646
fastTree 6 0 1000 996 997 76 75 0.075765
iqtree 6 0 1000 996 997 72 71 0.071751
raxml 6 0 1000 996 997 72 71 0.071751
fastTree 6 1 1000 996 996 88 88 0.088353
iqtree 6 1 1000 996 997 84 83 0.083793
raxml 6 1 1000 996 997 85 84 0.084797
fastTree 6 2 1000 996 995 78 79 0.078855
iqtree 6 2 1000 996 997 81 80 0.080783
raxml 6 2 1000 996 997 71 70 0.070748
fastTree 6 3 1000 996 997 87 86 0.086804
iqtree 6 3 1000 996 997 93 92 0.092825
raxml 6 3 1000 996 997 94 93 0.093828
fastTree 6 4 1000 996 997 76 75 0.075765
iqtree 6 4 1000 996 997 76 75 0.075765
raxml 6 4 1000 996 997 78 77 0.077772
fastTree 6 5 1000 996 995 70 71 0.070819
iqtree 6 5 1000 996 997 73 72 0.072755
raxml 6 5 1000 996 997 82 81 0.081786
fastTree 6 6 1000 996 997 63 62 0.062720
iqtree 6 6 1000 996 997 64 63 0.063723
raxml 6 6 1000 996 997 70 69 0.069744
fastTree 6 7 1000 996 995 77 78 0.077850
iqtree 6 7 1000 996 997 77 76 0.076769
raxml 6 7 1000 996 997 82 81 0.081786
fastTree 6 8 1000 996 997 85 84 0.084797
iqtree 6 8 1000 996 997 86 85 0.085800
raxml 6 8 1000 996 997 86 85 0.085800
fastTree 6 9 1000 996 996 73 73 0.073293
iqtree 6 9 1000 996 997 70 69 0.069744
raxml 6 9 1000 996 997 78 77 0.077772
fastTree 7 0 1000 996 971 241 266 0.257753
iqtree 7 0 1000 996 997 263 262 0.263422
raxml 7 0 1000 996 997 246 245 0.246362
fastTree 7 1 1000 996 963 252 285 0.274119
iqtree 7 1 1000 996 997 297 296 0.297541
raxml 7 1 1000 996 997 270 269 0.270447
fastTree 7 2 1000 996 963 259 292 0.281266
iqtree 7 2 1000 996 997 289 288 0.289513
raxml 7 2 1000 996 997 286 285 0.286503
fastTree 7 3 1000 996 978 229 247 0.241135
iqtree 7 3 1000 996 997 260 259 0.260411
raxml 7 3 1000 996 997 248 247 0.248369
fastTree 7 4 1000 996 971 247 272 0.263854
iqtree 7 4 1000 996 997 281 280 0.281485
raxml 7 4 1000 996 997 275 274 0.275464
fastTree 7 5 1000 996 968 243 271 0.261711
iqtree 7 5 1000 996 997 278 277 0.278475
raxml 7 5 1000 996 997 268 267 0.268440
fastTree 7 6 1000 996 965 230 261 0.250382
iqtree 7 6 1000 996 997 259 258 0.259408
raxml 7 6 1000 996 997 248 247 0.248369
