method factor replica nl ei1 ei2 fp fn rf
fastTree 0 0 1000 996 997 991 990 0.993979
iqtree 0 0 1000 996 997 991 990 0.993979
raxml 0 0 1000 996 997 993 992 0.995986
fastTree 1 0 1000 996 997 959 958 0.961867
iqtree 1 0 1000 996 997 960 959 0.962870
raxml 1 0 1000 996 997 969 968 0.971902
fastTree 2 0 1000 996 997 836 835 0.838435
iqtree 2 0 1000 996 997 806 805 0.808329
raxml 2 0 1000 996 997 922 921 0.924737
fastTree 3 0 1000 996 997 501 500 0.502258
iqtree 3 0 1000 996 997 360 359 0.360763
raxml 3 0 1000 996 997 608 607 0.609634
fastTree 4 0 1000 996 997 43 42 0.042649
iqtree 4 0 1000 996 997 42 41 0.041646
raxml 4 0 1000 996 997 53 52 0.052684
fastTree 5 0 1000 996 997 36 35 0.035625
iqtree 5 0 1000 996 997 36 35 0.035625
raxml 5 0 1000 996 997 40 39 0.039639
fastTree 6 0 1000 996 994 88 90 0.089447
iqtree 6 0 1000 996 997 92 91 0.091821
raxml 6 0 1000 996 997 93 92 0.092825
fastTree 7 0 1000 996 979 239 256 0.250633
iqtree 7 0 1000 996 997 249 248 0.249373
raxml 7 0 1000 996 997 257 256 0.257401
fastTree 8 0 1000 996 712 389 673 0.621780
iqtree 8 0 1000 996 997 681 680 0.682890
raxml 8 0 1000 996 997 657 656 0.658806
fastTree 9 0 1000 996 189 125 932 0.891983
iqtree 9 0 1000 996 997 933 932 0.935775
raxml 9 0 1000 996 997 927 926 0.929754
fastTree 0 1 1000 991 997 991 985 0.993964
iqtree 0 1 1000 991 997 994 988 0.996982
raxml 0 1 1000 991 997 994 988 0.996982
fastTree 1 1 1000 991 997 963 957 0.965795
iqtree 1 1 1000 991 997 960 954 0.962777
raxml 1 1 1000 991 997 980 974 0.982897
fastTree 2 1 1000 991 997 812 806 0.813883
iqtree 2 1 1000 991 997 772 766 0.773642
raxml 2 1 1000 991 997 906 900 0.908451
fastTree 3 1 1000 991 997 372 366 0.371227
iqtree 3 1 1000 991 997 332 326 0.330986
raxml 3 1 1000 991 997 491 485 0.490946
fastTree 4 1 1000 991 997 50 44 0.047284
iqtree 4 1 1000 991 997 46 40 0.043260
raxml 4 1 1000 991 997 52 46 0.049296
fastTree 5 1 1000 991 997 44 38 0.041247
iqtree 5 1 1000 991 997 42 36 0.039235
raxml 5 1 1000 991 997 56 50 0.053320
fastTree 6 1 1000 991 996 111 106 0.109210
iqtree 6 1 1000 991 997 107 101 0.104628
raxml 6 1 1000 991 997 101 95 0.098592
fastTree 7 1 1000 991 960 279 310 0.301896
iqtree 7 1 1000 991 997 317 311 0.315895
raxml 7 1 1000 991 997 311 305 0.309859
fastTree 8 1 1000 991 594 330 727 0.666877
iqtree 8 1 1000 991 997 736 730 0.737425
raxml 8 1 1000 991 997 716 710 0.717304
fastTree 9 1 1000 991 173 116 934 0.902062
iqtree 9 1 1000 991 997 939 933 0.941650
raxml 9 1 1000 991 997 926 920 0.928571
fastTree 0 2 1000 993 997 991 987 0.993970
iqtree 0 2 1000 993 997 994 990 0.996985
raxml 0 2 1000 993 997 994 990 0.996985
fastTree 1 2 1000 993 997 962 958 0.964824
iqtree 1 2 1000 993 997 966 962 0.968844
raxml 1 2 1000 993 997 971 967 0.973869
fastTree 2 2 1000 993 997 852 848 0.854271
iqtree 2 2 1000 993 997 823 819 0.825126
raxml 2 2 1000 993 997 924 920 0.926633
fastTree 3 2 1000 993 997 490 486 0.490452
iqtree 3 2 1000 993 997 424 420 0.424121
raxml 3 2 1000 993 997 635 631 0.636181
fastTree 4 2 1000 993 997 54 50 0.052261
iqtree 4 2 1000 993 997 52 48 0.050251
raxml 4 2 1000 993 997 69 65 0.067337
fastTree 5 2 1000 993 997 40 36 0.038191
iqtree 5 2 1000 993 997 41 37 0.039196
raxml 5 2 1000 993 997 49 45 0.047236
fastTree 6 2 1000 993 996 81 78 0.079940
iqtree 6 2 1000 993 997 79 75 0.077387
raxml 6 2 1000 993 997 87 83 0.085427
fastTree 7 2 1000 993 974 244 263 0.257753
iqtree 7 2 1000 993 997 276 272 0.275377
raxml 7 2 1000 993 997 288 284 0.287437
fastTree 8 2 1000 993 715 391 669 0.620609
iqtree 8 2 1000 993 997 685 681 0.686432
raxml 8 2 1000 993 997 673 669 0.674372
fastTree 9 2 1000 993 230 146 909 0.862633
iqtree 9 2 1000 993 997 913 909 0.915578
raxml 9 2 1000 993 997 905 901 0.907538
fastTree 0 3 1000 993 997 987 983 0.989950
iqtree 0 3 1000 993 997 989 985 0.991960
raxml 0 3 1000 993 997 989 985 0.991960
fastTree 1 3 1000 993 997 957 953 0.959799
iqtree 1 3 1000 993 997 954 950 0.956784
raxml 1 3 1000 993 997 976 972 0.978894
fastTree 2 3 1000 993 997 835 831 0.837186
iqtree 2 3 1000 993 997 800 796 0.802010
raxml 2 3 1000 993 997 912 908 0.914573
fastTree 3 3 1000 993 997 432 428 0.432161
iqtree 3 3 1000 993 997 368 364 0.367839
raxml 3 3 1000 993 997 599 595 0.600000
fastTree 4 3 1000 993 997 48 44 0.046231
iqtree 4 3 1000 993 997 45 41 0.043216
raxml 4 3 1000 993 997 55 51 0.053266
fastTree 5 3 1000 993 997 46 42 0.044221
iqtree 5 3 1000 993 997 41 37 0.039196
raxml 5 3 1000 993 997 50 46 0.048241
fastTree 6 3 1000 993 995 85 83 0.084507
iqtree 6 3 1000 993 997 88 84 0.086432
raxml 6 3 1000 993 997 99 95 0.097487
fastTree 7 3 1000 993 970 287 310 0.304126
iqtree 7 3 1000 993 997 309 305 0.308543
raxml 7 3 1000 993 997 312 308 0.311558
fastTree 8 3 1000 993 612 355 736 0.679751
iqtree 8 3 1000 993 997 740 736 0.741709
raxml 8 3 1000 993 997 713 709 0.714573
fastTree 9 3 1000 993 192 133 934 0.900422
iqtree 9 3 1000 993 997 936 932 0.938693
raxml 9 3 1000 993 997 927 923 0.929648
fastTree 0 4 1000 991 997 990 984 0.992958
iqtree 0 4 1000 991 997 991 985 0.993964
raxml 0 4 1000 991 997 994 988 0.996982
fastTree 1 4 1000 991 997 968 962 0.970825
iqtree 1 4 1000 991 997 972 966 0.974849
raxml 1 4 1000 991 997 981 975 0.983903
fastTree 2 4 1000 991 997 862 856 0.864185
iqtree 2 4 1000 991 997 815 809 0.816901
raxml 2 4 1000 991 997 924 918 0.926559
fastTree 3 4 1000 991 997 511 505 0.511066
iqtree 3 4 1000 991 997 455 449 0.454728
raxml 3 4 1000 991 997 604 598 0.604628
fastTree 4 4 1000 991 997 73 67 0.070423
iqtree 4 4 1000 991 997 69 63 0.066398
raxml 4 4 1000 991 997 80 74 0.077465
fastTree 5 4 1000 991 997 49 43 0.046278
iqtree 5 4 1000 991 997 54 48 0.051308
raxml 5 4 1000 991 997 57 51 0.054326
fastTree 6 4 1000 991 996 106 101 0.104177
iqtree 6 4 1000 991 997 114 108 0.111670
raxml 6 4 1000 991 997 115 109 0.112676
fastTree 7 4 1000 991 978 283 296 0.294058
iqtree 7 4 1000 991 997 313 307 0.311871
raxml 7 4 1000 991 997 303 297 0.301811
fastTree 8 4 1000 991 700 371 662 0.610881
iqtree 8 4 1000 991 997 671 665 0.672032
raxml 8 4 1000 991 997 652 646 0.652918
fastTree 9 4 1000 991 226 151 916 0.876746
iqtree 9 4 1000 991 997 923 917 0.925553
raxml 9 4 1000 991 997 914 908 0.916499
fastTree 0 5 1000 993 997 995 991 0.997990
iqtree 0 5 1000 993 997 993 989 0.995980
raxml 0 5 1000 993 997 994 990 0.996985
fastTree 1 5 1000 993 997 965 961 0.967839
iqtree 1 5 1000 993 997 968 964 0.970854
raxml 1 5 1000 993 997 974 970 0.976884
fastTree 2 5 1000 993 997 828 824 0.830151
iqtree 2 5 1000 993 997 798 794 0.800000
raxml 2 5 1000 993 997 914 910 0.916583
fastTree 3 5 1000 993 997 464 460 0.464322
iqtree 3 5 1000 993 997 396 392 0.395980
raxml 3 5 1000 993 997 603 599 0.604020
fastTree 4 5 1000 993 997 61 57 0.059296
iqtree 4 5 1000 993 997 58 54 0.056281
raxml 4 5 1000 993 997 73 69 0.071357
fastTree 5 5 1000 993 997 46 42 0.044221
iqtree 5 5 1000 993 997 41 37 0.039196
raxml 5 5 1000 993 997 45 41 0.043216
fastTree 6 5 1000 993 997 90 86 0.088442
iqtree 6 5 1000 993 997 86 82 0.084422
raxml 6 5 1000 993 997 89 85 0.087437
fastTree 7 5 1000 993 970 247 270 0.263372
iqtree 7 5 1000 993 997 280 276 0.279397
raxml 7 5 1000 993 997 277 273 0.276382
fastTree 8 5 1000 993 666 352 679 0.621459
iqtree 8 5 1000 993 997 679 675 0.680402
raxml 8 5 1000 993 997 675 671 0.676382
fastTree 9 5 1000 993 203 130 920 0.877926
iqtree 9 5 1000 993 997 924 920 0.926633
raxml 9 5 1000 993 997 920 916 0.922613
fastTree 0 6 1000 993 997 992 988 0.994975
iqtree 0 6 1000 993 997 992 988 0.994975
raxml 0 6 1000 993 997 992 988 0.994975
fastTree 1 6 1000 993 997 966 962 0.968844
iqtree 1 6 1000 993 997 959 955 0.961809
raxml 1 6 1000 993 997 977 973 0.979899
fastTree 2 6 1000 993 997 837 833 0.839196
iqtree 2 6 1000 993 997 782 778 0.783920
raxml 2 6 1000 993 997 912 908 0.914573
fastTree 3 6 1000 993 997 471 467 0.471357
iqtree 3 6 1000 993 997 394 390 0.393970
raxml 3 6 1000 993 997 586 582 0.586935
fastTree 4 6 1000 993 997 58 54 0.056281
iqtree 4 6 1000 993 997 54 50 0.052261
raxml 4 6 1000 993 997 69 65 0.067337
fastTree 5 6 1000 993 997 46 42 0.044221
iqtree 5 6 1000 993 997 46 42 0.044221
raxml 5 6 1000 993 997 53 49 0.051256
fastTree 6 6 1000 993 996 84 81 0.082956
iqtree 6 6 1000 993 997 82 78 0.080402
raxml 6 6 1000 993 997 92 88 0.090452
fastTree 7 6 1000 993 964 230 259 0.249872
iqtree 7 6 1000 993 997 270 266 0.269347
raxml 7 6 1000 993 997 251 247 0.250251
fastTree 8 6 1000 993 698 357 652 0.596688
iqtree 8 6 1000 993 997 660 656 0.661307
raxml 8 6 1000 993 997 642 638 0.643216
fastTree 9 6 1000 993 202 133 924 0.884519
iqtree 9 6 1000 993 997 929 925 0.931658
raxml 9 6 1000 993 997 923 919 0.925628
fastTree 0 7 1000 992 997 989 984 0.991956
iqtree 0 7 1000 992 997 992 987 0.994972
