method replica alignment factor nl ei1 ei2 fp fn rf
fastTree 20 0002 0 1001 998 998 438 438 0.438878
fastTree 20 0002 1 1001 998 998 568 568 0.569138
fastTree 20 0002 2 1001 998 825 632 805 0.788261
fastTree 20 0002 3 1001 998 321 274 951 0.928734
fastTree 20 0002 4 1001 998 68 58 988 0.981238
fastTree 20 0002 5 1001 998 13 10 995 0.994065
fastTree 20 0002 6 1001 998 0 0 998 1.000000
fastTree 20 0002 7 1001 998 0 0 998 1.000000
fastTree 20 0002 8 1001 998 0 0 998 1.000000
fastTree 20 0002 9 1001 998 0 0 998 1.000000
