method factor replica nl ei1 ei2 fp fn rf
fastTree 0 0 1000 996 997 989 988 0.991972
iqtree 0 0 1000 996 997 991 990 0.993979
raxml 0 0 1000 996 997 993 992 0.995986
fastTree 0 1 1000 996 997 990 989 0.992975
iqtree 0 1 1000 996 997 992 991 0.994982
raxml 0 1 1000 996 997 993 992 0.995986
fastTree 0 2 1000 996 997 990 989 0.992975
iqtree 0 2 1000 996 997 993 992 0.995986
raxml 0 2 1000 996 997 991 990 0.993979
fastTree 0 3 1000 996 997 990 989 0.992975
iqtree 0 3 1000 996 997 991 990 0.993979
raxml 0 3 1000 996 997 992 991 0.994982
fastTree 0 4 1000 996 997 988 987 0.990968
iqtree 0 4 1000 996 997 993 992 0.995986
raxml 0 4 1000 996 997 992 991 0.994982
fastTree 0 5 1000 996 997 991 990 0.993979
iqtree 0 5 1000 996 997 992 991 0.994982
raxml 0 5 1000 996 997 995 994 0.997993
fastTree 0 6 1000 996 997 991 990 0.993979
iqtree 0 6 1000 996 997 991 990 0.993979
raxml 0 6 1000 996 997 995 994 0.997993
fastTree 0 7 1000 996 997 989 988 0.991972
iqtree 0 7 1000 996 997 992 991 0.994982
raxml 0 7 1000 996 997 991 990 0.993979
fastTree 0 8 1000 996 997 992 991 0.994982
iqtree 0 8 1000 996 997 993 992 0.995986
raxml 0 8 1000 996 997 993 992 0.995986
fastTree 0 9 1000 996 997 992 991 0.994982
iqtree 0 9 1000 996 997 989 988 0.991972
raxml 0 9 1000 996 997 994 993 0.996989
fastTree 3 0 1000 996 997 476 475 0.477170
iqtree 3 0 1000 996 997 409 408 0.409935
raxml 3 0 1000 996 997 580 579 0.581535
fastTree 3 1 1000 996 997 466 465 0.467135
iqtree 3 1 1000 996 997 418 417 0.418966
raxml 3 1 1000 996 997 604 603 0.605620
fastTree 3 2 1000 996 997 463 462 0.464124
iqtree 3 2 1000 996 997 414 413 0.414952
raxml 3 2 1000 996 997 591 590 0.592574
fastTree 3 3 1000 996 997 483 482 0.484195
iqtree 3 3 1000 996 997 401 400 0.401907
raxml 3 3 1000 996 997 612 611 0.613648
fastTree 3 4 1000 996 997 467 466 0.468138
iqtree 3 4 1000 996 997 380 379 0.380833
raxml 3 4 1000 996 997 601 600 0.602609
fastTree 3 5 1000 996 997 484 483 0.485198
iqtree 3 5 1000 996 997 394 393 0.394882
raxml 3 5 1000 996 997 614 613 0.615655
fastTree 3 6 1000 996 997 481 480 0.482188
iqtree 3 6 1000 996 997 413 412 0.413949
raxml 3 6 1000 996 997 626 625 0.627697
fastTree 3 7 1000 996 997 470 469 0.471149
iqtree 3 7 1000 996 997 380 379 0.380833
raxml 3 7 1000 996 997 629 628 0.630707
