filename,p-distance,min,max
3_-1-tryfinal_fa1_hh0_TRUE.phy, 0.0 1 0
3_-1-tryfinal_fa1_hh1_TRUE.phy, 0.5219980703949821 0.001 0.796593186373
3_-1-tryfinal_fa1_hh2_TRUE.phy, 0.5207982240660486 0.001 0.789
3_-1-tryfinal_fa1_hh3_TRUE.phy, 0.5298356950048828 0.001 0.785
3_-1-tryfinal_fa1_hh4_TRUE.phy, 0.526235803083442 0.001 0.792
3_-1-tryfinal_fa1_ll0_TRUE.phy, 0.5249879998083274 0.000998003992 0.786
3_-1-tryfinal_fa1_ll1_TRUE.phy, 0.5208054161225818 0.001 0.789
3_-1-tryfinal_fa1_ll2_TRUE.phy, 0.5275582567939655 0.000999000999 0.803212851406
3_-1-tryfinal_fa1_ll3_TRUE.phy, 0.5322476171899443 0.001 0.796
3_-1-tryfinal_fa1_ll4_TRUE.phy, 0.5233233309943442 0.001 0.785
3_-2-tryfinal_fa1_hh0_TRUE.phy, 0.3116562731140186 0.001 0.752
3_-2-tryfinal_fa1_hh1_TRUE.phy, 0.3134609719509592 0.000999000999 0.737
3_-2-tryfinal_fa1_hh2_TRUE.phy, 0.3126054154847493 0.001 0.764
3_-2-tryfinal_fa1_hh3_TRUE.phy, 0.3149750087062267 0.001 0.756294058409
3_-2-tryfinal_fa1_hh4_TRUE.phy, 0.29927080878814594 0.001 0.757
3_-2-tryfinal_fa1_ll0_TRUE.phy, 0.31478881152304056 0.000998003992 0.752
3_-2-tryfinal_fa1_ll1_TRUE.phy, 0.30453043085649856 0.000994035785 0.768
3_-2-tryfinal_fa1_ll2_TRUE.phy, 0.30939765199161395 0.001 0.744
3_-2-tryfinal_fa1_ll3_TRUE.phy, 0.31442420372589164 0.001 0.742742742743
3_-2-tryfinal_fa1_ll4_TRUE.phy, 0.3116564420305534 0.000999000999 0.767
3_-3-tryfinal_fa1_hh0_TRUE.phy, 0.14943673199657684 0.001 0.596
3_-3-tryfinal_fa1_hh1_TRUE.phy, 0.14400123422165326 0.000998003992 0.582834331337
3_-3-tryfinal_fa1_hh2_TRUE.phy, 0.13997516657292172 0.000993048659 0.585
3_-3-tryfinal_fa1_hh3_TRUE.phy, 0.13674910839807622 0.001 0.598
3_-3-tryfinal_fa1_hh4_TRUE.phy, 0.1419877659139939 0.001 0.598
3_-3-tryfinal_fa1_ll0_TRUE.phy, 0.135089088666913 0.001 0.569
3_-3-tryfinal_fa1_ll1_TRUE.phy, 0.13872937970156632 0.001 0.579
3_-3-tryfinal_fa1_ll2_TRUE.phy, 0.1395902982866469 0.001 0.594
3_-3-tryfinal_fa1_ll3_TRUE.phy, 0.13768730792946102 0.001 0.576
3_-3-tryfinal_fa1_ll4_TRUE.phy, 0.14121427549636184 0.001 0.593
3_-4-tryfinal_fa1_hh0_TRUE.phy, 0.05655314588728574 0.001 0.303
3_-4-tryfinal_fa1_hh1_TRUE.phy, 0.05342439525619182 0.001 0.317
3_-4-tryfinal_fa1_hh2_TRUE.phy, 0.05316498211863354 0.001 0.295
3_-4-tryfinal_fa1_hh3_TRUE.phy, 0.05215099519052901 0.001 0.325
3_-4-tryfinal_fa1_hh4_TRUE.phy, 0.05050707855469235 0.001 0.315
3_-4-tryfinal_fa1_ll0_TRUE.phy, 0.05119978542360359 0.001 0.329
3_-4-tryfinal_fa1_ll1_TRUE.phy, 0.056210178508136414 0.000999000999 0.307
3_-4-tryfinal_fa1_ll2_TRUE.phy, 0.048269988901220716 0.001 0.294
3_-4-tryfinal_fa1_ll3_TRUE.phy, 0.054819588111974266 0.001 0.316
3_-4-tryfinal_fa1_ll4_TRUE.phy, 0.05751833271673471 0.001 0.335
3_0-tryfinal_fa1_hh0_TRUE.phy, 0.6798206972803753 0.000999000999 0.805194805195
3_0-tryfinal_fa1_hh1_TRUE.phy, 0.6793837906701083 0.000999000999 0.799200799201
3_0-tryfinal_fa1_hh2_TRUE.phy, 0.6783547443113954 0.001001001001 0.801810865191
3_0-tryfinal_fa1_hh3_TRUE.phy, 0.6798949240029146 0.000999000999 0.805805805806
