filename,p-distance,min,max
3_-1-tryfinal_fa1_hh0_TRUE.phy, 0.5088234985590374 0.001 0.779559118236
3_-1-tryfinal_fa1_hh1_TRUE.phy, 0.5107700566191569 0.001 0.784
3_-1-tryfinal_fa1_hh2_TRUE.phy, 0.5162726179164567 0.001 0.775
3_-1-tryfinal_fa1_hh3_TRUE.phy, 0.5118267690893733 0.000996015936 0.778112449799
3_-1-tryfinal_fa1_hh4_TRUE.phy, 0.5189101888164556 0.001 0.79
3_-1-tryfinal_fa1_ll0_TRUE.phy, 0.511695513568377 0.001 0.796
3_-1-tryfinal_fa1_ll1_TRUE.phy, 0.5131321670771118 0.001 0.785
3_-1-tryfinal_fa1_ll2_TRUE.phy, 0.5112455393086252 0.001 0.778
3_-1-tryfinal_fa1_ll3_TRUE.phy, 0.5102982884450563 0.001 0.78
3_-1-tryfinal_fa1_ll4_TRUE.phy, 0.5122667726276836 0.001 0.776
3_-2-tryfinal_fa1_hh0_TRUE.phy, 0.2945628499137909 0.001 0.694
3_-2-tryfinal_fa1_hh1_TRUE.phy, 0.3025500296213754 0.001 0.694
3_-2-tryfinal_fa1_hh2_TRUE.phy, 0.29008709323174475 0.001 0.692384769539
3_-2-tryfinal_fa1_hh3_TRUE.phy, 0.28276786860073744 0.001 0.687
3_-2-tryfinal_fa1_hh4_TRUE.phy, 0.29364845916542576 0.001 0.679358717435
3_-2-tryfinal_fa1_ll0_TRUE.phy, 0.2914571851544037 0.001 0.708
3_-2-tryfinal_fa1_ll1_TRUE.phy, 0.3026663376879722 0.001 0.699
3_-2-tryfinal_fa1_ll2_TRUE.phy, 0.28946741812326304 0.001 0.67
3_-2-tryfinal_fa1_ll3_TRUE.phy, 0.3007615095551596 0.001 0.697
3_-2-tryfinal_fa1_ll4_TRUE.phy, 0.303239513804119 0.001 0.691
3_-3-tryfinal_fa1_hh0_TRUE.phy, 0.13000786951666105 0.001 0.435
3_-3-tryfinal_fa1_hh1_TRUE.phy, 0.13899548087162034 0.001 0.442
3_-3-tryfinal_fa1_hh2_TRUE.phy, 0.13637155176779792 0.001 0.419
3_-3-tryfinal_fa1_hh3_TRUE.phy, 0.13527875749941554 0.001 0.437
3_-3-tryfinal_fa1_hh4_TRUE.phy, 0.13153889307326702 0.001 0.432
3_-3-tryfinal_fa1_ll0_TRUE.phy, 0.13375474638339874 0.001 0.433
3_-3-tryfinal_fa1_ll1_TRUE.phy, 0.12469033581798829 0.001 0.425
3_-3-tryfinal_fa1_ll2_TRUE.phy, 0.13105680076877133 0.001 0.407
3_-3-tryfinal_fa1_ll3_TRUE.phy, 0.1363071295282099 0.001 0.459
3_-3-tryfinal_fa1_ll4_TRUE.phy, 0.13356044983507767 0.001 0.434
3_-4-tryfinal_fa1_hh0_TRUE.phy, 0.05269284892703845 0.001 0.205
3_-4-tryfinal_fa1_hh1_TRUE.phy, 0.05354702230994988 0.001 0.181
3_-4-tryfinal_fa1_hh2_TRUE.phy, 0.053680362569150424 0.001 0.206
3_-4-tryfinal_fa1_hh3_TRUE.phy, 0.05346770381528709 0.001 0.207
3_-4-tryfinal_fa1_hh4_TRUE.phy, 0.050204711321195694 0.001 0.197
3_-4-tryfinal_fa1_ll0_TRUE.phy, 0.04986068618029764 0.001 0.211
3_-4-tryfinal_fa1_ll1_TRUE.phy, 0.050024517570059435 0.001 0.205
3_-4-tryfinal_fa1_ll2_TRUE.phy, 0.052024050074020174 0.001 0.212
3_-4-tryfinal_fa1_ll3_TRUE.phy, 0.0498848920863309 0.001 0.199
3_-4-tryfinal_fa1_ll4_TRUE.phy, 0.05345173103394539 0.001 0.207
3_0-tryfinal_fa1_hh0_TRUE.phy, 0.6697483799949536 0.001 0.801
3_0-tryfinal_fa1_hh1_TRUE.phy, 0.6705021898750942 0.001 0.794
3_0-tryfinal_fa1_hh2_TRUE.phy, 0.6715699912490081 0.001 0.7997997998
3_0-tryfinal_fa1_hh3_TRUE.phy, 0.6679467806215222 0.001 0.797
3_0-tryfinal_fa1_hh4_TRUE.phy, 0.6671259989747386 0.000983284169 0.790954773869
3_0-tryfinal_fa1_ll0_TRUE.phy, 0.6695281710591111 0.001 0.794
3_0-tryfinal_fa1_ll1_TRUE.phy, 0.6695508306364851 0.001 0.796
3_0-tryfinal_fa1_ll2_TRUE.phy, 0.6679428561001258 0.001 0.799
3_0-tryfinal_fa1_ll3_TRUE.phy, 0.6692917236454912 0.001 0.803
3_0-tryfinal_fa1_ll4_TRUE.phy, 0.6677058120544965 0.001 0.805
3_1-tryfinal_fa1_hh0_TRUE.phy, 0.7280252257694126 0.001 0.797
3_1-tryfinal_fa1_hh1_TRUE.phy, 0.7259357178885524 0.002002002002 0.795
3_1-tryfinal_fa1_hh2_TRUE.phy, 0.7274166256193656 0.004 0.804609218437
3_1-tryfinal_fa1_hh3_TRUE.phy, 0.7271960394939696 0.001994017946 0.804609218437
3_1-tryfinal_fa1_hh4_TRUE.phy, 0.727829571727176 0.002 0.805
3_1-tryfinal_fa1_ll0_TRUE.phy, 0.7271360106385528 0.001 0.801810865191
3_1-tryfinal_fa1_ll1_TRUE.phy, 0.7275910286260845 0.002 0.797
3_1-tryfinal_fa1_ll2_TRUE.phy, 0.7269322355637966 0.002 0.802010050251
3_1-tryfinal_fa1_ll3_TRUE.phy, 0.7265057168923694 0.001 0.803
3_1-tryfinal_fa1_ll4_TRUE.phy, 0.7265776604052773 0.001004016064 0.795795795796
3_2-tryfinal_fa1_hh0_TRUE.phy, 0.7426339896734354 0.006048387097 0.808617234469
3_2-tryfinal_fa1_hh1_TRUE.phy, 0.7424541951400352 0.005040322581 0.806613226453
