method replica alignment factor nl ei1 ei2 fp fn rf
raxml 20 0001 0 1001 998 998 532 532 0.533066
raxml 20 0001 1 1001 998 998 613 613 0.614228
raxml 20 0001 2 1001 998 998 824 824 0.825651
raxml 20 0001 3 1001 998 998 967 967 0.968938
raxml 20 0001 4 1001 998 998 985 985 0.986974
raxml 20 0001 5 1001 998 998 993 993 0.994990
raxml 20 0001 6 1001 998 998 997 997 0.998998
raxml 20 0001 7 1001 998 998 998 998 1.000000
raxml 20 0001 8 1001 998 998 998 998 1.000000
raxml 20 0001 9 1001 998 998 998 998 1.000000
