GENE,TYPE,ALPH,SQLN,P_A,P_C,P_G,P_T,P_CA,P_AG,P_TA,P_CG,P_TC,P_TG
1,exon,0.069725,1060,0.329953,0.246943,0.212786,0.210317,0.327039,1.000000,0.026030,0.102664,0.244278,0.148302
2,exon,0.277382,1021,0.343983,0.197718,0.252300,0.206000,0.353507,1.000000,0.083976,0.006738,0.120001,0.381106
3,exon,0.230875,649,0.283775,0.222211,0.265482,0.228531,0.681529,1.000000,0.044990,0.179667,0.328651,0.091208
4,exon,0.459161,1109,0.289476,0.244356,0.225601,0.240568,0.134907,1.000000,0.013895,0.054152,0.313410,0.217417
5,exon,0.420389,1265,0.355131,0.195770,0.251179,0.197920,0.224944,1.000000,0.019768,0.141762,0.352905,0.251882
6,exon,0.108030,841,0.347555,0.255407,0.223818,0.173220,0.302707,1.000000,0.016088,0.095056,0.193632,0.345705
7,exon,0.004976,887,0.303144,0.260460,0.229206,0.207191,0.136807,1.000000,0.030437,0.054522,0.266398,0.323591
8,exon,0.083268,995,0.287804,0.214871,0.237851,0.259474,0.617677,1.000000,0.052113,0.116905,0.252303,0.223437
9,exon,0.051012,499,0.330596,0.270336,0.209027,0.190041,0.353520,1.000000,0.110817,0.074925,0.311737,0.137625
10,exon,0.159279,908,0.365256,0.216779,0.256120,0.161846,0.522947,1.000000,0.030724,0.174456,0.233184,0.245921
11,exon,0.213651,1734,0.337739,0.231290,0.232768,0.198203,0.606686,1.000000,0.003573,0.036778,0.262125,0.365321
12,exon,0.334718,1094,0.307475,0.327198,0.188150,0.177177,0.265011,1.000000,0.089996,0.060705,0.234515,0.194614
13,exon,1.174845,1317,0.302030,0.234591,0.245873,0.217506,0.132529,1.000000,0.022961,0.049196,0.390659,0.273055
14,exon,0.032022,1072,0.314338,0.210560,0.281083,0.194019,0.055049,1.000000,0.064530,0.069184,0.312815,0.163391
15,exon,0.026768,1309,0.308928,0.189779,0.263517,0.237776,0.790465,1.000000,0.034490,0.146557,0.288675,0.248482
16,exon,0.667440,1173,0.332675,0.177643,0.254611,0.235071,0.332297,1.000000,0.078933,0.122979,0.298773,0.083356
17,exon,0.066943,538,0.362420,0.242231,0.229050,0.166300,0.249173,1.000000,0.008610,0.040245,0.419020,0.256249
18,exon,0.177164,1300,0.286460,0.234335,0.236218,0.242987,0.269261,1.000000,0.048023,0.146428,0.289897,0.176580
19,exon,0.120140,432,0.320807,0.235454,0.228073,0.215666,0.364726,1.000000,0.032106,0.111815,0.334277,0.251199
20,exon,0.029551,1174,0.277697,0.237763,0.263061,0.221479,0.580701,1.000000,0.035634,0.207260,0.193481,0.402350
21,exon,1.194774,314,0.344479,0.243253,0.234655,0.177613,0.828897,1.000000,0.069831,0.069465,0.399324,0.161725
22,exon,0.049418,421,0.325153,0.261732,0.233019,0.180095,0.313671,1.000000,0.059284,0.081759,0.284133,0.170473
23,exon,0.608766,954,0.301219,0.241434,0.255442,0.201905,0.290874,1.000000,0.034770,0.077935,0.306855,0.131760
24,exon,0.188057,397,0.348862,0.248706,0.217444,0.184987,0.378140,1.000000,0.056279,0.120699,0.272784,0.136099
25,exon,0.023808,817,0.312180,0.199931,0.240376,0.247513,0.975320,1.000000,0.033068,0.087839,0.165949,0.218895
26,exon,0.258246,539,0.326115,0.201827,0.254919,0.217140,0.789812,1.000000,0.116494,0.067732,0.404017,0.081905
27,exon,0.102167,541,0.281732,0.239171,0.285862,0.193236,0.451517,1.000000,0.089419,0.179401,0.199690,0.091250
28,exon,0.980921,1148,0.316764,0.253148,0.271672,0.158417,0.138466,1.000000,0.021528,0.178254,0.223664,0.251821
29,exon,0.049586,577,0.306428,0.221761,0.286310,0.185501,0.242686,1.000000,0.039150,0.224949,0.373757,0.096375
30,exon,0.006482,298,0.319208,0.274662,0.245771,0.160359,0.235997,1.000000,0.021678,0.085495,0.459848,0.156086
31,exon,0.093840,764,0.308421,0.254476,0.260317,0.176786,0.149834,1.000000,0.031685,0.150421,0.327732,0.219455
32,exon,0.021283,562,0.278785,0.238135,0.263383,0.219697,0.413327,1.000000,0.010438,0.082964,0.297615,0.086152
33,exon,0.153621,637,0.277038,0.243176,0.239696,0.240090,1.067092,1.000000,0.038285,0.118011,0.319787,0.177980
34,exon,0.447431,947,0.330871,0.210503,0.240655,0.217971,0.189128,1.000000,0.109058,0.013504,0.399545,0.105218
35,exon,0.068260,981,0.319588,0.205393,0.272842,0.202177,0.727209,1.000000,0.101257,0.128672,0.281072,0.221314
36,exon,0.240897,491,0.323432,0.211143,0.252575,0.212850,0.321725,1.000000,0.168705,0.054309,0.177830,0.182802
37,exon,0.152784,959,0.303720,0.218778,0.253996,0.223506,0.299141,1.000000,0.079416,0.132394,0.277747,0.255584
38,exon,0.222867,561,0.305839,0.222869,0.261842,0.209450,0.228287,1.000000,0.061261,0.284475,0.264976,0.234333
39,exon,0.036471,1382,0.347853,0.248124,0.185369,0.218653,1.052481,1.000000,0.046119,0.132714,0.249941,0.282284
40,exon,0.115512,614,0.341388,0.218085,0.198200,0.242326,1.091702,1.000000,0.034611,0.044828,0.310983,0.223451
41,exon,0.025183,697,0.291466,0.250489,0.246376,0.211669,0.087331,1.000000,0.043385,0.105693,0.251498,0.193580
42,exon,0.017161,1002,0.398448,0.189542,0.196191,0.215819,0.299497,1.000000,0.026925,0.174608,0.311493,0.124478
43,exon,0.155437,1138,0.312927,0.209838,0.235884,0.241351,0.131091,1.000000,0.026535,0.135631,0.362079,0.216194
44,exon,0.213916,1093,0.315505,0.238223,0.215475,0.230796,0.628832,1.000000,0.069317,0.068998,0.320942,0.238993
45,exon,0.062246,479,0.319651,0.220292,0.281241,0.178816,1.091436,1.000000,0.015627,0.061863,0.410597,0.194373
46,exon,0.039698,839,0.292120,0.260759,0.274815,0.172305,0.365794,1.000000,0.007675,0.115488,0.426908,0.159508
47,exon,0.027469,888,0.303457,0.228131,0.205492,0.262919,0.267870,1.000000,0.033182,0.076166,0.444437,0.228111
48,exon,0.108341,887,0.320658,0.239772,0.198716,0.240854,0.249402,1.000000,0.010225,0.097809,0.275437,0.292233
49,exon,0.065418,748,0.319695,0.227816,0.197469,0.255020,0.286237,1.000000,0.019491,0.102568,0.474175,0.182416
50,exon,0.024346,571,0.340770,0.246877,0.191267,0.221086,0.160532,1.000000,0.019507,0.350519,0.397331,0.098701
51,exon,0.018322,412,0.307939,0.215607,0.222607,0.253847,0.259385,1.000000,0.064059,0.234908,0.210014,0.140857
52,exon,0.063978,435,0.338805,0.273773,0.190880,0.196542,0.414289,1.000000,0.078012,0.097234,0.297897,0.236413
53,exon,0.171920,597,0.365474,0.214026,0.224403,0.196097,0.728879,1.000000,0.034818,0.100746,0.230141,0.364114
54,exon,0.431259,358,0.295933,0.260838,0.229650,0.213579,0.134551,1.000000,0.044197,0.217483,0.237081,0.258889
55,exon,0.075989,337,0.311043,0.242443,0.257292,0.189222,0.943615,1.000000,0.040548,0.090788,0.304444,0.333456
56,exon,0.286065,451,0.340020,0.239040,0.196529,0.224411,0.238362,1.000000,0.011333,0.103560,0.315075,0.189109
57,exon,0.026994,424,0.328108,0.233553,0.239266,0.199073,0.351103,1.000000,0.007749,0.127845,0.264351,0.173620
58,exon,0.125918,646,0.231481,0.264995,0.269167,0.234357,0.127417,1.000000,0.020677,0.088623,0.350424,0.198339
59,exon,0.143978,798,0.294976,0.248468,0.239551,0.217004,0.134371,1.000000,0.052351,0.055450,0.353347,0.296245
60,exon,0.334979,519,0.382134,0.246955,0.185427,0.185483,0.070543,1.000000,0.046114,0.241793,0.200919,0.211313
61,exon,0.241506,358,0.280696,0.270116,0.229822,0.219366,0.263867,1.000000,0.128588,0.145343,0.299129,0.137637
62,exon,0.075957,1290,0.257365,0.262678,0.236063,0.243894,0.123510,1.000000,0.095704,0.059348,0.397008,0.175760
63,exon,0.124768,524,0.301644,0.212480,0.250943,0.234933,0.192931,1.000000,0.099481,0.055378,0.212041,0.264413
64,exon,0.194663,1441,0.362114,0.211527,0.258305,0.168054,0.094286,1.000000,0.018793,0.136990,0.303008,0.241233
65,exon,0.082551,789,0.323273,0.233174,0.221596,0.221956,0.478025,1.000000,0.010203,0.156347,0.322536,0.143139
66,exon,0.498690,885,0.376220,0.221035,0.194905,0.207840,0.106037,1.000000,0.038794,0.078077,0.271692,0.103682
67,exon,0.061543,1399,0.338731,0.211700,0.235444,0.214125,0.196719,1.000000,0.041713,0.117353,0.335772,0.120409
68,exon,0.056196,710,0.281745,0.278933,0.216693,0.222629,0.205269,1.000000,0.048807,0.082657,0.326978,0.177073
69,exon,0.406918,423,0.301596,0.265840,0.212548,0.220016,0.679310,1.000000,0.117893,0.096312,0.310668,0.141116
70,exon,0.281454,317,0.388144,0.238206,0.186991,0.186659,0.162255,1.000000,0.062922,0.144227,0.311657,0.160554
71,exon,0.049814,394,0.257309,0.262484,0.248476,0.231731,0.325457,1.000000,0.065679,0.144908,0.428379,0.132122
72,exon,0.406965,593,0.277435,0.238187,0.234870,0.249508,0.268634,1.000000,0.028557,0.056403,0.430046,0.162294
73,exon,0.062829,745,0.296166,0.248511,0.245293,0.210030,0.535479,1.000000,0.014977,0.110642,0.439889,0.161706
74,exon,0.091762,679,0.359738,0.252274,0.250649,0.137339,0.972677,1.000000,0.012017,0.086004,0.518477,0.185874
75,exon,0.258459,913,0.332967,0.203215,0.233682,0.230136,0.367554,1.000000,0.115274,0.115799,0.210284,0.231268
76,exon,0.688115,1481,0.284500,0.205235,0.270656,0.239608,0.858429,1.000000,0.062753,0.082042,0.270852,0.214655
77,exon,0.002338,475,0.351748,0.226000,0.239188,0.183065,0.235467,1.000000,0.051105,0.224093,0.274171,0.115337
78,exon,0.567712,805,0.319499,0.220053,0.239083,0.221365,1.050407,1.000000,0.119792,0.088432,0.265056,0.215721
79,exon,0.008455,1573,0.322153,0.220003,0.251012,0.206832,0.306007,1.000000,0.117090,0.196697,0.338929,0.163824
80,exon,0.111174,757,0.275970,0.236451,0.243471,0.244108,0.136904,1.000000,0.116768,0.084225,0.336229,0.150596
81,exon,0.271734,349,0.326076,0.193217,0.269377,0.211330,0.307698,1.000000,0.112861,0.080755,0.220937,0.163197
82,exon,0.210676,1442,0.378129,0.219416,0.229536,0.172919,0.455739,1.000000,0.054316,0.298430,0.220544,0.234571
83,exon,0.005264,549,0.288198,0.227934,0.234650,0.249218,0.599088,1.000000,0.022256,0.166778,0.376646,0.265221
84,exon,0.066383,1033,0.303165,0.205271,0.271902,0.219662,0.650248,1.000000,0.122101,0.168549,0.343558,0.142409
85,exon,0.123457,512,0.313152,0.262688,0.234946,0.189214,0.418701,1.000000,0.081738,0.083679,0.367480,0.085683
86,exon,0.363933,518,0.308831,0.240300,0.240352,0.210517,0.239070,1.000000,0.119566,0.106880,0.309245,0.193882
87,exon,0.672291,1424,0.310369,0.201042,0.309040,0.179549,0.801683,1.000000,0.061339,0.076886,0.231050,0.278757
88,exon,0.372278,302,0.316982,0.193499,0.238016,0.251503,0.840200,1.000000,0.010972,0.175382,0.265347,0.168715
89,exon,0.081541,1216,0.257737,0.210611,0.239185,0.292466,0.275991,1.000000,0.035254,0.136152,0.274973,0.186639
90,exon,0.005844,576,0.320707,0.232829,0.222762,0.223702,0.302432,1.000000,0.075168,0.075445,0.318143,0.248125
91,exon,0.068713,405,0.345488,0.226514,0.224998,0.202999,0.228781,1.000000,0.046652,0.201040,0.439261,0.155794
92,exon,0.154716,527,0.292140,0.199622,0.288055,0.220183,0.166413,1.000000,0.019712,0.139967,0.240471,0.131134
93,exon,0.016991,383,0.367779,0.191359,0.218045,0.222817,0.241822,1.000000,0.070563,0.044048,0.392779,0.225522
94,exon,0.242590,604,0.281402,0.244842,0.252033,0.221723,0.209085,1.000000,0.070524,0.094168,0.347490,0.153377
95,exon,0.025244,595,0.316870,0.216834,0.257878,0.208418,1.567553,1.000000,0.077879,0.156173,0.406103,0.157178
96,exon,0.183611,817,0.331698,0.204075,0.218829,0.245398,0.324250,1.000000,0.130497,0.051978,0.396720,0.187625
97,exon,0.116157,491,0.324654,0.209612,0.241104,0.224630,0.202839,1.000000,0.022017,0.142392,0.331738,0.185408
98,exon,0.620290,555,0.330628,0.193276,0.199889,0.276207,0.763960,1.000000,0.080887,0.122865,0.270556,0.114090
99,exon,0.080916,849,0.331744,0.183173,0.260123,0.224961,0.404962,1.000000,0.021019,0.183518,0.295325,0.215271
100,exon,0.274233,310,0.284784,0.250335,0.244959,0.219922,0.340270,1.000000,0.043295,0.092212,0.300901,0.189237
101,exon,0.384468,791,0.347793,0.179199,0.309631,0.163378,0.327248,1.000000,0.012316,0.048533,0.268372,0.371513
102,exon,0.083620,491,0.244615,0.251016,0.228776,0.275593,0.027833,1.000000,0.023156,0.219698,0.295408,0.135532
103,exon,0.244700,659,0.318293,0.187709,0.274328,0.219671,0.857950,1.000000,0.025212,0.052911,0.320037,0.298383
104,exon,0.013766,301,0.353039,0.209774,0.267992,0.169195,0.192248,1.000000,0.026334,0.096169,0.382347,0.169685
105,exon,0.264989,395,0.288356,0.272959,0.224402,0.214282,0.539067,1.000000,0.038347,0.067518,0.367168,0.230620
106,exon,0.030813,486,0.331176,0.214705,0.224044,0.230075,0.410148,1.000000,0.069656,0.110626,0.393566,0.096964
107,exon,0.232321,759,0.306207,0.224728,0.234237,0.234828,0.798588,1.000000,0.093367,0.119522,0.297656,0.192561
108,exon,0.240052,526,0.269787,0.218960,0.272461,0.238792,0.462204,1.000000,0.099826,0.084596,0.356430,0.215113
109,exon,0.128678,838,0.269188,0.200657,0.284785,0.245371,0.105552,1.000000,0.038106,0.093716,0.338114,0.181551
110,exon,1.077669,448,0.328572,0.263941,0.237921,0.169566,0.170376,1.000000,0.057522,0.034419,0.297538,0.177004
111,exon,0.047301,713,0.321117,0.239184,0.234417,0.205282,0.198401,1.000000,0.060630,0.040489,0.392380,0.280784
112,exon,0.044811,354,0.313418,0.222650,0.247425,0.216507,0.497877,1.000000,0.028680,0.146427,0.258200,0.301751
113,exon,0.039094,673,0.333922,0.215131,0.225431,0.225516,0.389572,1.000000,0.033801,0.133705,0.231472,0.228640
114,exon,0.077112,1146,0.312304,0.218096,0.254345,0.215255,1.086793,1.000000,0.019647,0.122593,0.259262,0.189297
115,exon,0.370665,608,0.281715,0.229002,0.279155,0.210128,0.204713,1.000000,0.083321,0.088394,0.210136,0.330330
116,exon,0.913763,557,0.340505,0.187223,0.281069,0.191203,0.156107,1.000000,0.137441,0.058295,0.194508,0.140531
117,exon,0.307711,1334,0.346574,0.220441,0.233548,0.199438,0.113608,1.000000,0.036759,0.077240,0.385717,0.148820
118,exon,0.344032,499,0.346512,0.238065,0.203439,0.211985,0.098380,1.000000,0.005267,0.082854,0.325469,0.175147
119,exon,0.088193,701,0.285365,0.236935,0.260781,0.216919,0.257754,1.000000,0.037456,0.164976,0.363962,0.164289
120,exon,0.067693,845,0.291375,0.224040,0.232915,0.251670,0.318074,1.000000,0.028835,0.158109,0.447333,0.136807
121,exon,0.107027,1127,0.364897,0.227943,0.227219,0.179941,0.283459,1.000000,0.004379,0.089287,0.120400,0.249150
122,exon,0.112825,428,0.316872,0.226313,0.248858,0.207958,0.244370,1.000000,0.002841,0.126877,0.229792,0.114604
